#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:34:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a855bce089	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&tab:{J/AJ/123/2772/doublede}&key:source=J/AJ/123/2772/doublede&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/123/2772/doublede
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Vlsr
#-out=Vexp
#-out=Sblue
#-out=Sred
#-out=IRAS
#-out=NIRAS
#-out=Tel
#-out=Sp
#Sp=Sp
#-out.all=2
#

#RESOURCE=yCat_51232772
#Name: J/AJ/123/2772
#Title: OH-selected AGB and post-AGB objects. I. (Sevenster+, 2002)
#Table	J_AJ_123_2772_doublede:
#Name: J/AJ/123/2772/doublede
#Title: OH double detections
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(A16)	Source name, based on galactic coordinates	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vlsr	(F6.1)	LSR velocity	[ucd=phys.veloc;pos.lsr]
#Column	Vexp	(F4.1)	Expansion velocity	[ucd=phys.veloc.expansion]
#Column	Sblue	(F6.2)	Blue peak flux density	[ucd=phot.flux.density;em.IR]
#Column	Sred	(F6.2)	Red peak flux density	[ucd=phot.flux.density;em.IR]
#Column	IRAS	(A10)	Name of nearest IRAS point source <II/125>	[ucd=meta.id.assoc]
#Column	NIRAS	(F6.2)	Distance between OH pos and IRAS pos in fractions of IRAS error ellipse in the direction of the OH source	[ucd=pos.angDistance]
#Column	Tel	(A1)	[ABVW] Telescope (1)	[ucd=meta.id;instr.tel]
#Column	Sp	(A2)	OH-spectrum from VLA or ATCA	[ucd=meta.ref.url]
_RAJ2000	_DEJ2000	Name	RAJ2000	DEJ2000	Vlsr	Vexp	Sblue	Sred	IRAS	NIRAS	Tel	Sp
276.63459167	-14.34181111	OH017.362-01.115	18 26 32.302	-14 20 30.52	  77.2	13.6	  0.40	  0.80	18236-1422	  0.09	V	Sp
276.80030000	 -5.85000278	OH024.957+02.693	18 27 12.072	-05 51 00.01	   0.0	15.9	  0.50	  0.60	18245-0552	  0.25	V	Sp
276.82583750	-11.96353611	OH019.554-00.172	18 27 18.201	-11 57 48.73	 143.0	13.6	  1.00	  1.80	18245-1159	  0.34	V	Sp
276.83519167	-11.08958611	OH020.332+00.227	18 27 20.446	-11 05 22.51	 121.4	12.4	  1.10	  1.50	18245-1107	  0.56	V	Sp
276.84845417	-12.98403333	OH018.661-00.666	18 27 23.629	-12 59 02.52	  29.5	18.1	  0.40	  0.40	18245-1300	  0.15	V	Sp
276.84901667	-10.50603056	OH020.854+00.486	18 27 23.764	-10 30 21.71	  54.5	 0.0	  3.90	  0.00	18246-1032	  0.52	V	Sp
276.98490000	-10.78170278	OH020.673+00.240	18 27 56.376	-10 46 54.13	  91.9	19.3	  0.80	  1.20	18251-1048	  0.17	V	Sp
277.05780000	-11.26938889	OH020.274-00.050	18 28 13.872	-11 16 09.80	  27.2	15.9	  3.80	  3.60	18254-1118	  0.06	V	Sp
277.12840833	-10.84805278	OH020.679+00.084	18 28 30.818	-10 50 52.99	 136.2	18.2	  5.80	  3.10	18257-1052	  0.33	V	Sp
277.12890417	 -9.97064722	OH021.457+00.491	18 28 30.937	-09 58 14.33	 115.8	18.1	 18.90	 17.80	18257-1000	  1.41	V	Sp
277.14246667	-13.25365278	OH018.555-01.045	18 28 34.192	-13 15 13.15	  66.9	12.4	  0.20	  0.20	18257-1317	  1.72	V	Sp
277.24937500	 -7.55636944	OH023.651+01.506	18 28 59.850	-07 33 22.93	  79.4	13.6	  0.40	  0.90	18262-0735	  0.45	V	Sp
277.36984167	-12.63142222	OH019.209-00.953	18 29 28.762	-12 37 53.12	  51.0	17.0	  2.10	  2.00	18266-1239	  0.26	V	Sp
277.39612500	-11.73998333	OH020.011-00.562	18 29 35.070	-11 44 23.94	  77.2	18.1	  0.30	  0.20	18267-1146	  0.07	V	Sp
277.39802500	-11.26497500	OH020.433-00.344	18 29 35.526	-11 15 53.91	  42.0	17.0	  1.20	  2.20	18268-1117	  0.18	V	Sp
277.46393333	-14.55791389	OH017.544-01.926	18 29 51.344	-14 33 28.49	  42.0	10.2	  0.90	  1.00	18269-1435	  0.44	V	Sp
277.46423750	 -9.05932222	OH022.417+00.621	18 29 51.417	-09 03 33.56	   0.0	11.4	  0.60	  0.40	18271-0905	  0.42	V	Sp
277.48673750	-11.78151111	OH020.015-00.660	18 29 56.817	-11 46 53.44	   4.6	11.4	  0.30	  0.30	18271-1148	  0.39	V	Sp
277.52893750	 -7.61466944	OH023.727+01.234	18 30 06.945	-07 36 52.81	   0.0	13.6	  2.50	  1.20	18273-0738	  0.29	V	Sp
277.61772917	-11.15021944	OH020.634-00.482	18 30 28.255	-11 09 00.79	  11.4	15.9	  0.20	  0.50	18276-1111	  0.29	V	Sp
277.62781667	-14.48271667	OH017.684-02.032	18 30 30.676	-14 28 57.78	  61.2	11.4	 30.60	 39.00	18276-1431	  0.15	V	Sp
277.62873750	-10.95929444	OH020.809-00.403	18 30 30.897	-10 57 33.46	 103.3	17.0	  0.40	  0.80	18277-1059	  1.51	V	Sp
277.76010417	 -9.68698333	OH021.996+00.072	18 31 02.425	-09 41 13.14	 130.5	21.6	  1.30	  1.50	18282-0943	  0.11	V	Sp
277.84562083	 -9.95586111	OH021.797-00.127	18 31 22.949	-09 57 21.10	  40.9	 0.0	  5.90	  0.00	18286-0959	  0.19	V	Sp
277.84607917	-11.16530278	OH020.725-00.687	18 31 23.059	-11 09 55.09	  47.5	15.9	  0.40	  1.10	18286-1112	  0.21	V	Sp
277.88124583	-16.14622500	OH016.319-03.016	18 31 31.499	-16 08 46.41	  28.4	 7.9	  2.50	  3.30	18286-1610	  1.68	V	Sp
278.00289583	 -9.30619444	OH022.445+00.036	18 32 00.695	-09 18 22.30	 135.1	14.8	  0.40	  0.60	18289-0921	  8.97	V	Sp
278.08367917	-12.23635833	OH019.882-01.388	18 32 20.083	-12 14 10.89	 102.2	15.9	  1.00	  0.30	18295-1216	  0.45	V	Sp
278.09485000	 -9.46231389	OH022.348-00.117	18 32 22.764	-09 27 44.33	  45.4	20.4	  0.40	  0.40	18296-0929	  1.11	V	Sp
278.23115417	 -6.86169722	OH024.717+00.964	18 32 55.477	-06 51 42.11	  45.4	13.6	  0.30	  0.30	18302-0653	  0.47	V	Sp
278.29057917	 -7.46620556	OH024.208+00.633	18 33 09.739	-07 27 58.34	  59.0	15.9	  0.40	  1.60	18304-0730	  0.31	V	Sp
278.36507083	 -9.90611111	OH022.077-00.558	18 33 27.617	-09 54 22.00	  45.2	 6.8	  0.20	  0.10	18307-0956	  0.42	V	Sp
278.39229167	-11.94546667	OH020.280-01.522	18 33 34.150	-11 56 43.68	 -11.4	11.4	  0.90	  1.90	18307-1159	  0.14	V	Sp
278.39399167	 -9.95988333	OH022.043-00.608	18 33 34.558	-09 57 35.58	 115.6	11.4	  3.10	  1.40	18308-1000	  5.13	V	Sp
278.45657500	 -8.06705000	OH023.751+00.210	18 33 49.578	-08 04 01.38	 106.7	 9.1	  1.00	  2.70	18310-0806	  3.16	V	Sp
278.47922917	 -5.99480000	OH025.600+01.145	18 33 55.015	-05 59 41.28	  98.8	14.8	  0.20	  0.20	18312-0602	  0.35	V	Sp
278.52299583	-10.63435833	OH021.503-01.032	18 34 05.519	-10 38 03.69	  78.3	10.2	  0.80	  1.10	18313-1040	  0.38	V	Sp
278.54709583	 -8.96737500	OH022.993-00.285	18 34 11.303	-08 58 02.55	  35.0	14.8	  8.30	  7.40	18314-0900	  1.28	V	Sp
278.71314167	 -8.86193889	OH023.162-00.382	18 34 51.154	-08 51 42.98	  77.0	22.7	  1.10	  0.70	18321-0854	  0.55	V	Sp
278.76465833	 -8.91626944	OH023.138-00.452	18 35 03.518	-08 54 58.57	  71.3	21.5	  0.60	  0.50	18324-0857	  5.33	V	Sp
278.82939583	 -7.32316389	OH024.581+00.224	18 35 19.055	-07 19 23.39	 -72.6	13.6	  3.80	  2.30	18325-0721	  1.73	V	Sp
278.86741667	 -8.06878889	OH023.937-00.152	18 35 28.180	-08 04 07.64	 123.7	17.0	  0.80	  1.30	18332-0807	 16.83	V	Sp
278.87167500	 -7.21972500	OH024.692+00.235	18 35 29.202	-07 13 11.01	  42.0	19.3	  3.90	  4.40	18327-0715	  0.38	V	Sp
278.89392500	 -8.04438333	OH023.970-00.164	18 35 34.542	-08 02 39.78	 102.2	25.0	  1.70	  0.40	18328-0805	  0.22	V	Sp
278.98952500	 -7.31584167	OH024.661+00.087	18 35 57.486	-07 18 57.03	  56.8	15.9	  2.90	  1.90	18322-0721	 22.83	V	Sp
279.17341667	 -4.72343889	OH027.047+01.116	18 36 41.620	-04 43 24.38	 -18.4	15.9	  0.20	  0.30	18340-0446	  0.69	V	Sp
279.17498750	 -6.76518889	OH025.235+00.177	18 36 41.997	-06 45 54.68	  51.0	17.0	  0.60	  0.70	18340-0648	  0.17	V	Sp
279.18310000	 -6.45671944	OH025.512+00.311	18 36 43.944	-06 27 24.19	  38.6	15.9	  1.40	  1.60	18340-0629	  0.11	V	Sp
279.19125417	 -7.30489167	OH024.763-00.086	18 36 45.901	-07 18 17.61	  86.2	22.6	  0.40	  2.10	18340-0720	  0.17	V	Sp
279.21266667	 -7.81756944	OH024.317-00.340	18 36 51.040	-07 49 03.25	  72.6	15.9	  0.40	  0.30	18341-0751	  0.28	V	Sp
279.24166250	 -6.89029722	OH025.154+00.060	18 36 57.999	-06 53 25.07	  87.3	14.8	  2.30	  1.90	18342-0655	  1.54	V	Sp
279.27077083	-12.47173333	OH020.206-02.526	18 37 04.985	-12 28 18.24	  25.0	15.9	  0.70	  0.70	18342-1230	  0.06	V	Sp
279.29604583	 -8.80265833	OH023.480-00.866	18 37 11.051	-08 48 09.57	  64.7	12.5	  0.50	  0.20	18344-0850	  1.23	V	Sp
279.35567917	 -7.12936667	OH024.993-00.150	18 37 25.363	-07 07 45.72	 124.8	18.1	  1.00	  0.60	18351-0709	  8.50	V	Sp
279.37739583	-12.19545833	OH020.500-02.493	18 37 30.575	-12 11 43.65	  89.7	14.8	  0.10	  0.10	18347-1214	  0.59	V	Sp
279.38540000	 -5.39991389	OH026.543+00.618	18 37 32.496	-05 23 59.69	  27.2	13.6	 79.80	147.70	18348-0526	  0.15	V	Sp
279.50241250	 -6.65777222	OH025.479-00.063	18 38 00.579	-06 39 27.98	  25.0	18.1	  0.90	  0.40	18355-0641	  9.51	V	Sp
279.56426250	 -7.16504444	OH025.057-00.350	18 38 15.423	-07 09 54.16	 142.9	11.4	  2.40	  2.80	18355-0712	  0.38	V	Sp
279.66155000	 -5.81930833	OH026.297+00.181	18 38 38.772	-05 49 09.51	 -26.1	12.5	  0.90	  1.10	18359-0551	  0.31	V	Sp
279.66608333	 -8.68652222	OH023.751-01.138	18 38 39.860	-08 41 11.48	  47.7	13.6	  0.80	  1.50	18359-0843	  0.16	V	Sp
279.71053750	 -6.74718056	OH025.495-00.288	18 38 50.529	-06 44 49.85	  36.3	15.9	  1.80	  1.50	18361-0647	  0.69	V	Sp
279.71992500	 -2.00334167	OH029.716+01.878	18 38 52.782	-02 00 12.03	  73.8	17.0	  0.40	  0.20	18362-0202	  0.30	V	Sp
279.80043750	 -7.12740556	OH025.198-00.541	18 39 12.105	-07 07 38.66	  74.8	18.1	  0.40	  0.40	18364-0710	  0.13	V	Sp
279.85118333	 -6.53049722	OH025.751-00.313	18 39 24.284	-06 31 49.79	 105.6	17.0	  1.50	  4.10	18367-0634	  0.21	V	Sp
279.87218750	 -3.32824167	OH028.607+01.136	18 39 29.325	-03 19 41.67	  76.1	14.8	  0.40	  0.30	18366-0322	  7.08	V	Sp
279.91703750	 -6.84554722	OH025.501-00.515	18 39 40.089	-06 50 43.97	  47.7	13.6	  0.50	  0.80	18369-0653	  0.10	V	Sp
279.92319167	 -5.80583611	OH026.428-00.044	18 39 41.566	-05 48 21.01	   3.4	17.0	  2.20	  1.90	18370-0551	  1.24	V	Sp
280.01808333	 -6.84924722	OH025.544-00.606	18 40 04.340	-06 50 57.29	 149.8	 9.1	  0.20	  0.10	18373-0653	  0.46	V	Sp
280.06524583	 -4.49823333	OH027.655+00.429	18 40 15.659	-04 29 53.64	  66.9	17.0	  0.60	  0.40	18386-0432	 15.42	V	Sp
280.08415417	 -8.76296667	OH023.872-01.540	18 40 20.197	-08 45 46.68	 129.4	15.9	  0.30	  0.40	18376-0848	  0.12	V	Sp
280.09095000	 -4.95310278	OH027.263+00.198	18 40 21.828	-04 57 11.17	  51.1	12.5	 12.50	  3.30	18376-0500	  0.65	V	Sp
280.16001250	-10.70963889	OH022.174-02.496	18 40 38.403	-10 42 34.70	 112.3	12.4	  0.50	  0.70	18378-1045	  0.23	V	Sp
280.17942500	 -6.34815556	OH026.063-00.519	18 40 43.062	-06 20 53.36	  16.9	 7.9	  0.10	  0.20	18380-0623	  0.17	V	Sp
280.23007083	 -5.98655278	OH026.407-00.398	18 40 55.217	-05 59 11.59	  94.2	14.8	  0.30	  0.30	18382-0602	  0.74	V	Sp
280.25345833	 -6.53391944	OH025.931-00.669	18 41 00.830	-06 32 02.11	  82.7	17.0	  0.50	  0.80	18383-0634	  0.19	V	Sp
280.30971667	 -6.25015556	OH026.209-00.589	18 41 14.332	-06 15 00.56	  71.3	21.5	  3.80	  3.70	18385-0617	  1.29	V	Sp
280.33579167	 -1.83548889	OH030.147+01.408	18 41 20.590	-01 50 07.76	 -44.2	12.4	  0.10	  0.60	18387-0153	  0.63	V	Sp
280.39959167	 -5.98083889	OH026.490-00.545	18 41 35.902	-05 58 51.02	  90.8	 0.0	  0.60	  0.00	18389-0601	  0.34	V	Sp
280.50792500	 -5.35206111	OH027.098-00.354	18 42 01.902	-05 21 07.42	 101.9	13.6	  2.90	  4.00	18391-0524	  9.73	V	Sp
280.52976667	-10.29710556	OH022.707-02.631	18 42 07.144	-10 17 49.58	 -76.1	 5.7	  0.50	  0.40	18393-1020	  0.39	V	Sp
280.63280000	 -1.77551667	OH030.336+01.171	18 42 31.872	-01 46 31.86	 -64.7	 5.7	  0.20	  0.20	18399-0149	  0.42	V	Sp
280.66055833	 -5.10010000	OH027.392-00.374	18 42 38.534	-05 06 00.36	  57.8	23.9	  0.20	  0.40	18399-0509	  0.28	V	Sp
280.71655000	 -3.99852222	OH028.397+00.080	18 42 51.972	-03 59 54.68	  74.9	 0.0	  1.50	  0.00	18402-0403	  3.06	V	Sp
280.72180417	 -4.92363611	OH027.576-00.347	18 42 53.233	-04 55 25.09	 170.2	13.6	  0.50	  0.40	18402-0458	  0.18	V	Sp
280.74334167	 -4.64668333	OH027.833-00.240	18 42 58.402	-04 38 48.06	  18.0	15.9	  0.80	  0.60	18392-0442	 29.00	V	Sp
280.84928333	 -6.27361667	OH026.434-01.077	18 43 23.828	-06 16 25.02	 127.1	13.6	  0.70	  0.30	18407-0619	  0.33	V	Sp
280.85750417	 -3.93207778	OH028.520-00.014	18 43 25.801	-03 55 55.48	 107.8	12.5	  6.40	  7.00	18407-0358	  0.66	V	Sp
280.87176667	 -4.20973056	OH028.280-00.154	18 43 29.224	-04 12 35.03	  51.1	19.3	  2.00	  2.10	18410-0415	  8.11	V	Sp
280.97738750	 -5.10487500	OH027.532-00.656	18 43 54.573	-05 06 17.55	  99.8	18.1	  0.30	  0.20	18412-0509	  0.25	V	Sp
281.06962917	 -1.00732500	OH031.219+01.133	18 44 16.711	-01 00 26.37	  47.7	13.6	  0.40	  0.40	18417-0103	  0.61	V	Sp
281.08263750	 -2.08024444	OH030.270+00.632	18 44 19.833	-02 04 48.88	 -22.7	13.6	  0.50	  0.20	18417-0207	  0.16	V	Sp
281.14619167	 -1.33244722	OH030.965+00.917	18 44 35.086	-01 19 56.81	  62.2	10.2	  0.50	  0.90	18420-0123	  0.20	V	Sp
281.17358333	 -5.15472222	OH027.577-00.853	18 44 41.660	-05 09 17.00	 105.6	12.4	  3.00	  2.70	18420-0512	  0.19	V	Sp
281.20796667	 -1.22354722	OH031.090+00.912	18 44 49.912	-01 13 24.77	  46.3	17.0	  0.30	  0.20	18422-0116	  0.13	V	Sp
281.23453750	 -4.56617500	OH028.128-00.638	18 44 56.289	-04 33 58.23	 115.6	20.4	  0.60	  0.60	18422-0437	  0.11	V	Sp
281.23479167	 -1.54575000	OH030.815+00.741	18 44 56.350	-01 32 44.70	  14.6	19.3	  0.40	  0.40	18423-0135	  0.29	V	Sp
281.24745000	 -3.67390278	OH028.928-00.242	18 44 59.388	-03 40 26.05	  78.2	17.0	  0.90	  1.00	18423-0343	  0.23	V	Sp
281.27916667	 -3.33140556	OH029.247-00.114	18 45 07.000	-03 19 53.06	  60.2	19.2	  0.60	  0.40	18429-0322	  8.60	V	Sp
281.45166250	 -4.01300278	OH028.719-00.579	18 45 48.399	-04 00 46.81	  46.5	17.0	  6.90	  4.30	18431-0403	  0.06	V	Sp
281.46823750	 -1.77855000	OH030.715+00.427	18 45 52.377	-01 46 42.78	  66.9	17.0	  3.90	  2.20	18432-0149	  0.31	V	Sp
281.52407917	 -1.98822778	OH030.554+00.281	18 46 05.779	-01 59 17.62	  37.5	19.2	  0.70	  1.10	18434-0202	  0.16	V	Sp
281.61158750	 -6.67613611	OH026.421-01.935	18 46 26.781	-06 40 34.09	  27.2	11.4	  4.20	  4.90	18437-0643	  0.45	V	Sp
281.66133750	 -0.28700833	OH032.130+00.935	18 46 38.721	-00 17 13.23	 137.1	12.4	  0.90	  1.30	18440-0020	  0.37	V	Sp
281.74534167	 -1.72860000	OH030.885+00.203	18 46 58.882	-01 43 42.96	  89.5	19.3	  3.90	  2.50	18443-0147	  0.84	V	Sp
281.78825000	 -3.39807778	OH029.419-00.597	18 47 09.180	-03 23 53.08	 106.7	15.9	  0.30	  0.40	18445-0326	  4.93	V	Sp
281.79098333	 -2.59340000	OH030.137-00.232	18 47 09.836	-02 35 36.24	  50.9	17.0	 13.20	 12.30	18445-0238	  0.28	V	Sp
281.81895000	 -1.85449444	OH030.807+00.080	18 47 16.548	-01 51 16.18	   2.1	13.6	  0.80	  1.00	18438-0154	 14.17	V	Sp
281.85075833	 -1.86713056	OH030.810+00.046	18 47 24.182	-01 52 01.67	  63.4	13.6	  0.50	  0.60	18438-0154	 18.27	V	Sp
281.87160833	 -3.41140833	OH029.446-00.677	18 47 29.186	-03 24 41.07	 -11.4	13.6	  0.50	  0.20	18448-0328	  0.36	V	Sp
281.90715833	 -5.18535556	OH027.883-01.517	18 47 37.718	-05 11 07.28	  85.2	14.8	  1.40	  1.80	18449-0514	  0.17	V	Sp
281.90889167	 -1.62385278	OH031.053+00.105	18 47 38.134	-01 37 25.87	  21.4	14.8	  0.30	  0.30	18443-0141	  7.36	V	Sp
281.92137500	 -1.75326667	OH030.944+00.035	18 47 41.130	-01 45 11.76	  33.9	 6.8	  2.10	 23.20	18450-0148	  0.54	V	Sp
281.95847500	 -3.49223333	OH029.413-00.791	18 47 50.034	-03 29 32.04	 124.8	11.4	  4.50	  3.50	18451-0332	  0.44	V	Sp
281.97750833	 -8.35799444	OH025.086-03.022	18 47 54.602	-08 21 28.78	   9.1	13.6	  0.60	  0.30	18451-0824	  0.10	V	Sp
282.03668750	 -1.94834444	OH030.823-00.156	18 48 08.805	-01 56 54.04	  95.2	20.5	  1.50	  0.40	18455-0200	  1.30	V	Sp
282.11022083	 +1.13972778	OH033.605+01.187	18 48 26.453	+01 08 23.02	  95.3	13.6	  0.40	  0.90	18458+0104	  0.42	V	Sp
282.17477917	 -2.84145278	OH030.091-00.686	18 48 41.947	-02 50 29.23	  98.6	19.2	 29.20	 35.10	18460-0254	  1.45	V	Sp
282.17924167	 -1.80848611	OH031.012-00.219	18 48 43.018	-01 48 30.55	 124.7	13.6	  3.30	  4.20	18460-0151	  0.98	V	Sp
282.32090000	 -7.23133611	OH026.246-02.814	18 49 17.016	-07 13 52.81	 -65.8	11.4	  1.40	  2.40	18465-0717	  0.61	V	Sp
282.33102500	 -2.58052778	OH030.394-00.706	18 49 19.446	-02 34 49.90	  68.1	27.2	  0.60	  0.30	18467-0238	  0.90	V	Sp
282.58568333	 -0.92352500	OH031.985-00.177	18 50 20.564	-00 55 24.69	 111.1	11.4	  0.30	  0.30	18470-0059	 17.90	V	Sp
282.59351667	 -0.91918333	OH031.993-00.182	18 50 22.444	-00 55 09.06	  69.1	14.8	  1.90	  1.90	18478-0058	  1.56	V	Sp
282.63096667	 -1.95146944	OH031.091-00.686	18 50 31.432	-01 57 05.29	  98.6	19.3	  1.60	  1.40	18488-0200	 27.85	V	Sp
282.65671250	 +4.15243611	OH036.537+02.072	18 50 37.611	+04 09 08.77	  59.0	15.9	  0.30	  0.20	18481+0405	  0.30	V	Sp
282.73281250	 +0.15931111	OH033.016+00.185	18 50 55.875	+00 09 33.52	 121.2	14.8	  0.60	  1.20	18364+0005	163.65	V	Sp
282.74792083	 +6.76596944	OH038.909+03.178	18 50 59.501	+06 45 57.49	  95.3	13.6	  4.60	 11.50	18485+0642	  0.55	V	Sp
282.81642083	 +1.93864722	OH034.638+00.922	18 51 15.941	+01 56 19.13	  27.2	15.9	  1.60	  2.30	18487+0152	  0.26	V	Sp
282.85938333	 -1.06450833	OH031.984-00.485	18 51 26.252	-01 03 52.23	  75.9	19.3	  5.10	  3.40	18488-0107	  0.40	V	Sp
282.89073333	 -1.30569167	OH031.784-00.623	18 51 33.776	-01 18 20.49	  98.6	14.8	  1.50	  0.70	18489-0122	  0.58	V	Sp
283.00597917	 -1.44621944	OH031.711-00.790	18 52 01.435	-01 26 46.39	  78.3	12.5	  0.80	  1.50	18494-0130	  0.13	V	Sp
283.05885000	 -0.32766944	OH032.731-00.327	18 52 14.124	-00 19 39.61	  60.2	14.8	  4.20	  1.70	18487-0023	 29.77	V	Sp
283.06387917	 +2.06338611	OH034.862+00.759	18 52 15.331	+02 03 48.19	  69.1	14.8	  0.50	  0.60	18497+0200	  0.35	V	Sp
283.11655000	 +0.45786667	OH033.457-00.020	18 52 27.972	+00 27 28.32	  60.2	14.8	  1.10	  1.60	18504+0025	 12.56	V	Sp
283.16682500	 +0.27963333	OH033.321-00.146	18 52 40.038	+00 16 46.68	  71.5	12.5	  0.20	  0.40	18501+0013	  0.34	V	Sp
283.23817083	 -1.63518611	OH031.649-01.082	18 52 57.161	-01 38 06.67	 141.9	12.4	  0.50	  0.40	18503-0141	  0.39	V	Sp
283.37522917	 -0.24094722	OH032.953-00.569	18 53 30.055	-00 14 27.41	  37.3	17.0	  2.60	  2.20	18509-0018	  0.57	V	Sp
283.47610833	 -0.79982222	OH032.501-00.913	18 53 54.266	-00 47 59.36	   7.9	14.8	  0.80	  0.20	18512-0051	  3.23	V	Sp
283.56713333	 +4.04202222	OH036.852+01.214	18 54 16.112	+04 02 31.28	 -12.6	 7.9	  1.50	  2.00	18518+0358	  1.53	V	Sp
283.58692500	 +0.68421944	OH033.873-00.335	18 54 20.862	+00 41 03.19	  27.1	15.9	  1.40	  0.90	18517+0037	  0.19	V	Sp
283.63192083	 +5.61988056	OH038.287+01.875	18 54 31.661	+05 37 11.57	  11.4	11.4	  0.20	  0.80	18520+0533	  0.38	V	Sp
283.77143333	 +2.24502778	OH035.346+00.213	18 55 05.144	+02 14 42.10	  70.3	18.1	  0.80	  0.70	18525+0210	  0.22	V	Sp
283.98712083	 +7.50814722	OH040.130+02.420	18 55 56.909	+07 30 29.33	  47.7	18.1	  0.80	  1.50	18535+0726	  0.18	V	Sp
284.15154167	 +3.11441667	OH036.292+00.271	18 56 36.370	+03 06 51.90	 102.2	18.1	  1.80	  1.10	18540+0302	  1.34	V	Sp
284.33010000	 -1.13586389	OH032.591-01.827	18 57 19.224	-01 08 09.11	 126.0	12.5	  0.30	  0.20	18547-0112	  0.36	V	Sp
284.36437500	 +2.20460278	OH035.580-00.333	18 57 27.450	+02 12 16.57	  78.3	12.5	  9.80	  8.20	18549+0208	  0.67	V	Sp
284.44127917	 +2.71873611	OH036.073-00.167	18 57 45.907	+02 43 07.45	   2.0	11.4	  1.20	  0.80	18552+0239	  7.43	V	Sp
284.47183750	 +4.11361111	OH037.327+00.443	18 57 53.241	+04 06 49.00	  23.9	17.0	  0.20	  0.30	18554+0402	  0.13	V	Sp
284.51638750	 +3.57204167	OH036.866+00.156	18 58 03.933	+03 34 19.35	  63.4	15.9	  0.70	  0.30	18555+0330	  0.86	V	Sp
284.60696667	 +5.24161667	OH038.393+00.838	18 58 25.672	+05 14 29.82	  60.2	12.4	  0.70	  0.40	18559+0510	  1.30	V	Sp
284.62506250	 +6.71608889	OH039.713+01.495	18 58 30.015	+06 42 57.92	  20.4	15.9	 19.80	 35.00	18560+0638	  0.24	V	Sp
284.63228750	 +1.12982778	OH034.746-01.062	18 58 31.749	+01 07 47.38	 103.3	12.5	  0.60	  0.40	18559+0103	  0.20	V	Sp
284.72207500	 +3.82750833	OH037.187+00.090	18 58 53.298	+03 49 39.03	  44.0	14.8	  2.80	  0.40	18562+0345	  8.73	V	Sp
284.74479583	 +2.61762500	OH036.121-00.483	18 58 58.751	+02 37 03.45	  79.2	18.1	  0.90	  0.20	18564+0232	  0.78	V	Sp
284.83680000	 +5.91117778	OH039.093+00.941	18 59 20.832	+05 54 40.24	 -52.3	11.4	  0.50	  0.10	18568+0550	  0.68	V	Sp
284.89966250	 +6.26019444	OH039.432+01.044	18 59 35.919	+06 15 36.70	  35.2	14.8	  0.20	  0.30	18571+0611	  0.17	V	Sp
285.07232083	 +8.59201667	OH041.585+01.957	19 00 17.357	+08 35 31.26	  48.8	14.8	  0.90	  0.80	18578+0831	  0.20	V	Sp
285.33346667	 +4.54201389	OH038.101-00.125	19 01 20.032	+04 32 31.25	  53.2	21.5	  0.40	  0.20	18588+0428	  0.16	V	Sp
285.52103750	 -0.82745556	OH033.409-02.746	19 02 05.049	-00 49 38.84	  79.4	13.6	  0.50	  0.70	18595-0053	  0.45	V	Sp
285.52607917	 +3.33763056	OH037.118-00.847	19 02 06.259	+03 20 15.47	  88.3	13.6	  6.60	  5.00	18596+0315	  0.11	V	Sp
286.04050833	 +6.22108056	OH039.916+00.018	19 04 09.722	+06 13 15.89	 148.4	14.8	  3.50	  5.90	19017+0608	  0.60	V	Sp
286.06008333	 +4.28327778	OH038.203-00.888	19 04 14.420	+04 16 59.80	  86.2	18.1	  0.30	  0.40	19017+0412	  0.24	V	Sp
286.18036250	 +7.83863889	OH041.417+00.637	19 04 43.287	+07 50 19.10	  34.0	13.6	  0.20	  0.50	19023+0745	  0.22	V	Sp
