#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:29:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a83dccb671	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&tab:{J/AJ/123/2772/AGB}&key:source=J/AJ/123/2772/AGB&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/123/2772/AGB
#-order=I
#-out=n_Name
#-out=Name
#-out=Vlsr
#-out=Vexp
#-out=IRAS
#-out=NIRAS
#-out=S12um
#-out=S25um
#-out=S60um
#-out=S100um
#-out.all=2
#-out=S4um
#-out=S8um
#-out=S12umM
#-out=S15um
#-out=S21um
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=2MASS
#2MASS=2MASS
#-out=MSX
#MSX=MSX
#-out=GLON
#-out=GLAT
#-out=Vout
#-out=Sblue
#-out=Sred
#-out=vla
#-out=atca
#-out=_RA.icrs
#-out=_DE.icrs
#-out.all=2
#

#RESOURCE=yCat_51232772
#Name: J/AJ/123/2772
#Title: OH-selected AGB and post-AGB objects. I. (Sevenster+, 2002)
#Coosys	G:	galactic
#Table	J_AJ_123_2772_AGB:
#Name: J/AJ/123/2772/AGB
#Title: The catalogue of 766 OH-selected AGB and post-AGB objects (radio and infra-red data)
#Column	_RAJ2000	(A11)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A11)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	n_Name	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Name	(A16)	OH name	[ucd=meta.id;meta.main]
#Column	Vlsr	(F6.1)	LSR velocity	[ucd=phys.veloc;pos.lsr]
#Column	Vexp	(F4.1)	Expansion velocity	[ucd=phys.veloc.expansion]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id.assoc]
#Column	NIRAS	(F6.2)	Distance between OH pos and IRAS pos in fractions of IRAS error ellipse IN THE DIRECTION of the OH source	[ucd=pos.angDistance]
#Column	S12um	(F7.2)	? Flux density at 12{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S25um	(F7.2)	? Flux density at 25{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	S60um	(F8.2)	? Flux density at 60{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.30-60um]
#Column	S100um	(F8.2)	? Flux density at 100{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.60-100um]
#Column	S4um	(F6.2)	? MSX flux density at 4{mu}m (B2 band) if within 5" (1)	[ucd=phot.flux.density;em.IR.3-4um]
#Column	S8um	(F6.2)	? MSX flux density at 8{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S12umM	(F7.2)	? MSX flux density at 12{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S15um	(F7.2)	? MSX flux density at 15{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S21um	(F7.2)	? MSX flux density at 21{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	Jmag	(F7.2)	? 2MASS J magnitude if within 3" (1)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.2)	? 2MASS H magnitude if within 3" (1)	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F7.2)	? 2MASS Ks magnitude if within 3" (1)	[ucd=phot.mag;em.IR.K]
#Column	2MASS	(a5)	Display the 2MASS (Cat. II/246) sources within a 10-arcsec radius	[ucd=meta.ref.url]
#Column	MSX	(A3)	Display the MSX6C (Cat. V/114) sources within a 15-arcsec radius	[ucd=meta.ref.url]
#Column	GLON	(F7.3)	Galactic longitude in range [0,360]{deg} (the original table contained negative longitudes)	[ucd=pos.galactic.lon]
#Column	GLAT	(F7.3)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Vout	(F6.3)	Outflow velocity	[ucd=phys.veloc]
#Column	Sblue	(F7.3)	Blue peak flux density	[ucd=phot.flux.density;em.IR]
#Column	Sred	(F7.3)	Red peak flux density	[ucd=phot.flux.density;em.IR]
#Column	vla	(A24)	VLA spectrum name (vla/spectrumname)	[ucd=meta.id;meta.file]
#Column	atca	(A25)	ATCA spectrum name (atca/spectrumname)	[ucd=meta.id;meta.file]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	n_Name	Name	Vlsr	Vexp	IRAS	NIRAS	S12um	S25um	S60um	S100um	S4um	S8um	S12umM	S15um	S21um	Jmag	Hmag	Kmag	2MASS	MSX	GLON	GLAT	Vout	Sblue	Sred	vla	atca	_RA.icrs	_DE.icrs
17 10 52.44	-39 58 48.2	 	OH346.854-00.186	 -16.1	14.6	17073-3955	  0.22	  61.24	  47.72	  -47.02	 -280.90	 37.74	 61.15	  66.08	  49.96	  60.95	       	       	       	2MASS	MSX	346.854	-00.186	14.600	  0.338	  0.342	vla/OH346.854-00.186.dat	                         	257.7185	-39.9801
17 10 53.60	-42 28 58.4	 	OH344.839-01.671	 -58.5	11.7	17073-4225	  0.28	  10.81	  16.15	   -5.64	 -206.70	 -9.25	  8.96	  12.86	  10.34	  14.63	       	       	       	2MASS	MSX	344.839	-01.671	11.700	  1.130	  0.225	vla/OH344.839-01.671.dat	                         	257.7233	-42.4829
17 11 14.61	-35 31 11.4	 	OH350.494+02.394	-134.4	 0.0	17079-3527	  0.39	   4.89	   7.27	    4.80	  -26.13	 -8.13	  5.91	   7.71	   9.34	  12.26	 -17.61	  14.17	   9.86	2MASS	MSX	350.494	+02.394	 0.000	  2.104	  0.000	vla/OH350.494+02.394.dat	                         	257.8109	-35.5198
17 11 54.43	-39 12 52.7	 	OH347.589+00.106	  -7.4	10.2	17084-3909	  0.23	  13.36	  -8.11	  -26.89	 -281.80	 -9.38	 10.50	  10.90	   6.82	   7.10	       	       	       	2MASS	MSX	347.589	+00.106	10.200	  0.297	  0.484	vla/OH347.589+00.106.dat	                         	257.9768	-39.2146
17 11 57.70	-38 46 53.3	 	OH347.945+00.353	 -73.1	19.0	17085-3843	  1.70	       	       	        	        	 -9.38	  9.42	  12.40	  19.73	  20.46	       	       	       	2MASS	MSX	347.945	+00.353	19.000	  1.304	  0.800	vla/OH347.945+00.353.dat	                         	257.9904	-38.7815
17 12 21.19	-38 18 18.1	 	OH348.375+00.572	  30.6	13.1	17089-3814	  0.34	   9.69	  10.32	  -23.01	 -646.40	      	      	       	       	       	       	       	       	2MASS	MSX	348.375	+00.572	13.100	  0.438	  0.633	vla/OH348.375+00.572.dat	                         	258.0883	-38.3050
17 12 22.78	-42 25 10.5	 	OH345.052-01.855	   2.8	14.6	17088-4221	  0.33	  42.70	 128.30	  106.80	   36.90	 -9.25	 11.91	  44.88	  89.24	 110.41	       	       	       	2MASS	MSX	345.052	-01.855	14.600	 20.131	 24.217	vla/OH345.052-01.855.dat	                         	258.0949	-42.4196
17 12 40.94	-35 21 31.7	 	OH350.797+02.252	-166.5	 0.0	17090-3516	 10.87	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	350.797	+02.252	 0.000	  0.607	  0.000	vla/OH350.797+02.252.dat	                         	258.1706	-35.3588
17 13 04.95	-36 27 52.9	 	OH349.949+01.537	 -33.0	12.4	17097-3624	  0.42	   1.52	   6.61	   10.11	 -227.40	      	      	       	       	       	       	       	       	2MASS	MSX	349.949	+01.537	12.400	  0.438	  0.697	vla/OH349.949+01.537.dat	                         	258.2706	-36.4647
17 13 22.48	-35 24 46.5	 	OH350.836+02.106	 -49.7	11.7	17100-3521	  0.23	   9.83	   9.65	   -4.11	  -47.54	 -8.34	 20.90	  24.67	  17.84	  20.25	       	       	       	2MASS	MSX	350.836	+02.106	11.700	  0.831	  0.761	vla/OH350.836+02.106.dat	                         	258.3436	-35.4129
17 13 44.40	-37 06 11.1	 	OH349.509+01.056	 -41.0	 0.0	17103-3702	  0.32	  32.08	 335.90	  849.70	  537.40	      	      	       	       	       	       	       	       	2MASS	MSX	349.509	+01.056	 0.000	  0.497	  0.000	vla/OH349.509+01.056.dat	                         	258.4350	-37.1031
17 13 46.67	-34 37 19.7	 	OH351.526+02.502	  56.9	 0.0	17104-3434	 10.28	       	       	        	        	  7.39	  0.33	  -1.23	  -0.93	  -2.38	   9.73	   8.47	   7.74	2MASS	MSX	351.526	+02.502	 0.000	  0.567	  0.000	vla/OH351.526+02.502.dat	                         	258.4445	-34.6221
17 14 09.87	-34 45 29.5	 	OH351.462+02.358	 202.9	65.7	17112-3445	 31.14	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	351.462	+02.358	65.700	  0.237	  0.379	vla/OH351.462+02.358.dat	                         	258.5411	-34.7582
17 14 51.69	-33 25 54.8	 	OH352.625+03.014	 -69.6	 4.4	17115-3322	  0.15	 133.80	  76.19	   13.41	  -24.40	 90.36	 84.37	  78.14	  57.55	  50.81	       	       	       	2MASS	MSX	352.625	+03.014	 4.400	  0.768	  0.600	vla/OH352.625+03.014.dat	                         	258.7154	-33.4319
17 16 15.16	-38 37 46.6	 	OH348.558-00.237	 -37.3	13.9	17127-3834	  3.48	       	       	        	        	 -9.38	  3.13	   3.74	   5.39	   4.89	       	       	       	2MASS	MSX	348.558	-00.237	13.900	  0.698	  0.250	vla/OH348.558-00.237.dat	                         	259.0632	-38.6296
17 16 15.98	-37 52 03.8	 	OH349.180+00.203	  -6.7	19.7	17128-3748	  0.55	  43.20	  60.24	 -208.60	 -326.10	 26.87	 57.68	  85.78	  90.21	  98.79	       	       	       	2MASS	MSX	349.180	+00.203	19.700	  4.234	  5.035	vla/OH349.180+00.203.dat	                         	259.0666	-37.8677
17 16 56.86	-40 29 47.3	 	OH347.114-01.428	 -87.7	13.1	17134-4026	  0.43	   7.82	   9.65	  -15.11	 -277.40	 -8.75	  5.15	   6.34	   6.53	   7.57	       	       	       	2MASS	MSX	347.114	-01.428	13.100	  0.415	  0.256	vla/OH347.114-01.428.dat	                         	259.2369	-40.4965
17 17 08.07	-37 33 19.6	 	OH349.534+00.244	  72.2	13.9	17136-3731	 15.35	       	       	        	        	 -9.38	  1.21	   2.06	   2.66	   3.57	       	       	       	2MASS	MSX	349.534	+00.244	13.900	  2.066	  0.597	vla/OH349.534+00.244.dat	                         	259.2836	-37.5554
17 17 13.98	-37 23 47.3	 	OH349.675+00.320	 -14.7	 8.8	17140-3720	  8.03	       	       	        	        	 -9.38	  1.11	   2.07	   2.05	   3.35	       	       	       	2MASS	MSX	349.675	+00.320	 8.800	  0.618	  1.045	vla/OH349.675+00.320.dat	                         	259.3083	-37.3965
17 17 52.63	-37 49 07.2	 	OH349.404-00.028	  24.7	13.1	17144-3745	  0.25	   9.75	  12.24	 -172.70	 -470.10	 -9.38	  9.84	  11.38	   9.71	  10.75	       	       	       	2MASS	MSX	349.404	-00.028	13.100	  0.291	  0.534	vla/OH349.404-00.028.dat	                         	259.4693	-37.8187
17 18 12.38	-42 01 30.6	 	OH346.001-02.503	  -0.8	15.3	17146-4158	  0.65	  26.79	  26.59	    4.62	  -22.19	  8.87	 19.05	  21.30	  16.45	  20.63	       	       	       	2MASS	MSX	346.001	-02.503	15.300	  0.283	  0.268	vla/OH346.001-02.503.dat	                         	259.5516	-42.0252
17 18 19.94	-32 27 21.2	 	OH353.844+02.984	  25.3	 0.0	17150-3224	  0.19	  57.92	 322.30	  268.30	   82.41	 -8.63	 13.07	  62.04	 130.90	 296.48	  11.11	  10.22	   9.45	2MASS	MSX	353.844	+02.984	 0.000	  1.350	  0.000	vla/OH353.844+02.984.dat	                         	259.5831	-32.4559
17 18 34.72	-38 48 57.7	 	OH348.668-00.715	-178.2	14.6	17151-3845	  0.74	   1.18	   7.85	  -19.96	 -480.30	 -8.75	  0.23	   1.25	   3.05	   6.27	       	       	       	2MASS	MSX	348.668	-00.715	14.600	  3.043	  1.766	vla/OH348.668-00.715.dat	                         	259.6447	-38.8160
17 19 10.09	-37 27 51.0	 	OH349.841-00.033	 -68.0	13.9	17155-3724	  6.55	       	       	        	        	 -9.38	 -0.09	  -1.49	   1.37	   6.61	       	       	       	2MASS	MSX	349.841	-00.033	13.900	  0.250	  0.343	vla/OH349.841-00.033.dat	                         	259.7920	-37.4642
17 19 29.26	-37 21 34.7	 	OH349.963-00.025	  37.8	 0.0	17160-3718	  4.55	       	       	        	        	 -9.38	  6.07	   9.19	  11.85	  10.05	       	       	       	2MASS	MSX	349.963	-00.025	 0.000	  2.081	  0.000	vla/OH349.963-00.025.dat	                         	259.8719	-37.3596
17 19 40.87	-32 29 51.2	 	OH353.973+02.727	  87.4	13.9	17164-3226	  0.75	   0.96	   9.45	   17.74	  -45.47	 -8.71	  0.19	   1.79	   2.25	   6.33	  14.04	  13.21	  12.78	2MASS	MSX	353.973	+02.727	13.900	  2.332	  1.615	vla/OH353.973+02.727.dat	                         	259.9203	-32.4975
17 19 42.07	-37 54 54.5	 	OH349.532-00.378	 -79.0	 4.4	17162-3751	  0.39	   3.00	   6.72	  -38.33	 -365.90	 -8.79	  0.51	   1.56	   1.88	   3.82	       	       	       	2MASS	MSX	349.532	-00.378	 4.400	  0.386	  0.426	vla/OH349.532-00.378.dat	                         	259.9253	-37.9151
17 20 04.67	-37 02 47.4	 	OH350.287+00.058	  37.8	14.6	17166-3659	  0.58	   5.79	  11.41	  -43.70	 -268.50	 -9.38	  1.33	   2.09	   2.61	   3.88	       	       	       	2MASS	MSX	350.287	+00.058	14.600	  0.461	  0.700	vla/OH350.287+00.058.dat	                         	260.0195	-37.0465
17 20 15.14	-37 39 34.1	 	OH349.804-00.321	  -6.0	13.1	17168-3736	  0.34	   9.78	  36.98	   47.89	 -280.60	 -8.79	  1.72	  10.06	  23.32	  28.77	       	       	       	2MASS	MSX	349.804	-00.321	13.100	 10.886	  8.789	vla/OH349.804-00.321.dat	                         	260.0631	-37.6595
17 20 15.73	-38 00 42.5	 	OH349.516-00.524	 -76.7	15.3	17168-3757	  0.28	   2.83	   5.74	  -39.23	 -275.60	      	      	       	       	       	       	       	       	2MASS	MSX	349.516	-00.524	15.300	  0.766	  0.500	vla/OH349.516-00.524.dat	                         	260.0655	-38.0118
17 20 48.36	-36 49 56.0	 	OH350.546+00.061	 -41.7	13.9	17174-3646	  0.50	  -3.56	   8.20	  -27.64	 -346.50	      	      	       	       	       	       	       	       	2MASS	MSX	350.546	+00.061	13.900	  2.959	  1.170	vla/OH350.546+00.061.dat	                         	260.2015	-36.8322
17 21 04.98	-37 39 02.7	 	OH349.905-00.451	  13.7	15.3	17176-3736	  0.21	   8.59	  10.53	  -36.11	 -576.60	 -8.79	  5.78	   8.01	   8.11	   8.56	       	       	       	2MASS	MSX	349.905	-00.451	15.300	  0.450	  0.388	vla/OH349.905-00.451.dat	                         	260.2707	-37.6507
17 21 09.64	-36 30 50.3	 	OH350.848+00.184	 -86.3	11.7	17177-3627	  0.11	  21.05	  37.12	   18.20	 -363.30	 -9.38	  8.90	  14.08	  22.14	  27.45	       	       	       	2MASS	MSX	350.848	+00.184	11.700	  8.569	  9.289	vla/OH350.848+00.184.dat	                         	260.2902	-36.5140
17 21 54.15	-36 09 58.3	 	OH351.219+00.259	 -30.8	13.1	17183-3606	  5.36	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	351.219	+00.259	13.100	  0.666	  0.525	vla/OH351.219+00.259.dat	                         	260.4756	-36.1662
17 22 18.80	-38 41 38.6	 	OH349.184-01.243	 -92.1	 0.0	17188-3838	  1.49	   9.31	  15.92	   21.70	 -105.10	      	      	       	       	       	       	       	       	2MASS	MSX	349.184	-01.243	 0.000	  3.099	  0.000	vla/OH349.184-01.243.dat	                         	260.5783	-38.6941
17 22 20.83	-37 14 30.9	 	OH350.384-00.425	 -59.3	12.4	17189-3711	  1.06	  -4.22	   3.05	   16.83	   91.88	      	      	       	       	       	       	       	       	2MASS	MSX	350.384	-00.425	12.400	  1.473	  1.335	vla/OH350.384-00.425.dat	                         	260.5868	-37.2419
17 22 27.95	-36 20 16.8	 	OH351.142+00.068	 -93.6	14.6	17191-3617	  0.56	  -5.10	   7.14	   19.40	 -374.20	      	      	       	       	       	       	       	       	2MASS	MSX	351.142	+00.068	14.600	  2.016	  1.430	vla/OH351.142+00.068.dat	                         	260.6164	-36.3380
17 22 42.50	-35 49 32.0	 	OH351.592+00.318	  17.4	10.2	17193-3546	  1.08	   3.09	   6.38	   33.58	 -327.50	 -9.38	  0.87	   1.84	   3.14	   3.10	       	       	       	2MASS	MSX	351.592	+00.318	10.200	  0.783	  0.596	vla/OH351.592+00.318.dat	                         	260.6771	-35.8256
17 23 06.41	-35 19 58.6	 	OH352.044+00.530	  58.3	16.1	17197-3517	  0.12	  11.74	  16.10	  -28.53	 -443.70	 -9.38	  8.05	  11.56	  11.29	  14.20	  14.44	  10.88	   7.99	2MASS	MSX	352.044	+00.530	16.100	  0.494	  0.282	vla/OH352.044+00.530.dat	                         	260.7767	-35.3329
17 23 06.61	-31 09 42.0	 	OH355.488+02.886	 -42.6	 5.1	17198-3106	  0.35	  14.44	  14.74	   -2.67	  -41.57	  8.79	 14.98	  18.63	  17.56	  19.51	  12.94	  10.15	   7.98	2MASS	MSX	355.488	+02.886	 5.100	  0.226	  0.168	vla/OH355.488+02.886.dat	                         	260.7775	-31.1617
17 23 12.38	-37 34 47.6	 	OH350.202-00.757	-137.4	16.1	17198-3732	  0.25	   5.72	  15.40	  -35.17	 -539.90	 -8.75	  2.93	   4.76	   8.95	  10.45	       	       	       	2MASS	MSX	350.202	-00.757	16.100	  5.007	  0.393	vla/OH350.202-00.757.dat	                         	260.8016	-37.5799
17 23 16.25	-36 14 22.4	 	OH351.315-00.010	 -73.9	15.3	17198-3611	  0.24	  -8.16	   5.78	  -24.29	 -402.20	 -9.38	  4.02	   4.79	   4.07	   4.44	       	       	       	2MASS	MSX	351.315	-00.010	15.300	  0.392	  0.323	vla/OH351.315-00.010.dat	                         	260.8177	-36.2395
17 23 57.37	-35 58 49.6	 	OH351.607+00.022	  70.7	18.3	17205-3556	  0.28	   2.36	   3.21	   17.44	 -287.00	 -9.38	  3.36	   5.15	   5.87	   5.68	       	       	       	2MASS	MSX	351.607	+00.022	18.300	  0.219	  0.326	vla/OH351.607+00.022.dat	                         	260.9890	-35.9805
17 24 07.30	-36 35 42.6	 	OH351.118-00.352	-143.9	16.8	17207-3632	  0.20	   6.23	  14.94	   22.68	-1490.00	      	      	       	       	       	       	       	       	2MASS	MSX	351.118	-00.352	16.800	  1.363	  0.460	vla/OH351.118-00.352.dat	                         	261.0304	-36.5952
17 24 14.70	-33 21 17.6	 	OH353.810+01.452	 -26.4	 0.0	17209-3318	  1.30	  56.76	  43.08	   10.56	 -129.40	  7.52	 -0.09	  -1.40	  17.82	  23.69	   9.41	   6.87	   5.29	2MASS	MSX	353.810	+01.452	 0.000	  0.263	  0.000	vla/OH353.810+01.452.dat	                         	261.0612	-33.3549
17 24 30.27	-39 49 27.5	 	OH348.490-02.231	 -89.9	13.9	17210-3946	  0.20	  22.32	  38.26	   11.64	 -112.70	 -8.54	 17.82	  27.43	  35.25	  42.50	       	       	       	2MASS	MSX	348.490	-02.231	13.900	  0.751	  0.956	vla/OH348.490-02.231.dat	                         	261.1261	-39.8243
17 26 07.27	-36 26 15.0	 	OH351.474-00.596	 -24.2	12.4	17227-3623	  0.42	   1.20	   4.00	  -25.01	 -495.50	 -8.79	  0.20	   1.51	   2.00	   2.89	       	       	       	2MASS	MSX	351.474	-00.596	12.400	  0.934	  0.570	vla/OH351.474-00.596.dat	                         	261.5303	-36.4375
17 26 18.73	-33 51 19.1	 	OH353.637+00.815	-208.2	 9.5	17230-3348	  0.24	   2.60	   7.38	   24.55	 -316.80	 -9.13	  0.61	   2.31	   4.36	   5.61	       	       	       	2MASS	MSX	353.637	+00.815	 9.500	  2.772	  0.658	vla/OH353.637+00.815.dat	                         	261.5781	-33.8553
17 26 42.35	-36 09 18.5	 	OH351.774-00.536	  -0.9	 2.2	17233-3606	  0.95	   4.50	 228.80	 8787.00	20400.00	      	      	       	       	       	       	       	       	2MASS	MSX	351.774	-00.536	 2.200	  1.423	  1.532	vla/OH351.774-00.536.dat	                         	261.6764	-36.1551
17 26 52.84	-34 03 22.7	 	OH353.536+00.605	 -25.7	13.9	17235-3400	  0.33	  -4.98	   8.20	  -31.70	 -443.00	 -9.38	 -0.09	  -1.49	   0.96	   5.12	  13.41	  11.37	  10.26	2MASS	MSX	353.536	+00.605	13.900	  2.176	  1.683	vla/OH353.536+00.605.dat	                         	261.7202	-34.0563
17 27 00.66	-34 01 43.2	 	OH353.574+00.598	   0.6	15.3	17237-3359	  1.12	  -4.63	   5.80	   28.27	 -447.10	 -9.38	 -0.09	  -1.49	  -1.06	   4.19	  14.56	  12.05	  10.77	2MASS	MSX	353.574	+00.598	15.300	  1.494	  1.177	vla/OH353.574+00.598.dat	                         	261.7528	-34.0287
17 27 11.92	-30 30 20.7	 	OH356.524+02.526	 170.8	 0.0	17238-3027	  5.23	       	       	        	        	      	      	       	       	       	 -14.37	  13.70	 -12.82	2MASS	MSX	356.524	+02.526	 0.000	  0.399	  0.000	vla/OH356.524+02.526.dat	                         	261.7997	-30.5058
17 27 34.92	-34 06 32.8	 	OH353.573+00.455	 -56.3	15.3	17242-3404	  0.08	   9.47	  10.90	  -19.49	 -633.30	 -9.38	  7.62	   8.08	   7.01	   9.24	  11.89	   8.46	   6.27	2MASS	MSX	353.573	+00.455	15.300	  0.984	  0.545	vla/OH353.573+00.455.dat	                         	261.8955	-34.1091
17 27 37.26	-35 15 57.4	 	OH352.616-00.195	 -13.3	16.1	17242-3513	  3.16	       	       	        	        	 17.05	 31.75	  45.17	  44.75	  -3.12	       	       	       	2MASS	MSX	352.616	-00.195	16.100	  1.493	  2.835	vla/OH352.616-00.195.dat	                         	261.9053	-35.2659
17 27 45.71	-37 27 03.7	 	OH350.815-01.433	 -58.2	17.5	17243-3724	  0.07	  21.64	  24.46	    4.26	 -304.60	  9.64	  9.25	  12.24	  11.48	  13.39	       	       	       	2MASS	MSX	350.815	-01.433	17.500	  0.567	  0.679	vla/OH350.815-01.433.dat	                         	261.9404	-37.4510
17 27 46.71	-29 39 23.2	 	OH357.301+02.893	  38.5	 0.0	17245-2936	  0.50	   3.94	   5.07	   -1.29	  -33.97	 -8.63	  1.53	   1.60	   2.44	   3.67	       	       	       	2MASS	MSX	357.301	+02.893	 0.000	  0.565	  0.000	vla/OH357.301+02.893.dat	                         	261.9446	-29.6564
17 27 54.46	-34 40 46.9	 	OH353.136+00.082	 -65.8	17.5	17244-3438	  4.74	       	       	        	        	 -9.38	  5.29	   6.06	   9.71	   8.69	       	       	       	2MASS	MSX	353.136	+00.082	17.500	  0.504	  1.142	vla/OH353.136+00.082.dat	                         	261.9769	-34.6797
17 28 04.58	-39 53 45.8	 	OH348.813-02.840	 -97.9	11.7	17245-3951	  0.08	   3.36	  44.73	   38.23	  -97.67	 -9.42	  0.66	   2.94	   8.52	  36.61	       	       	       	2MASS	MSX	348.813	-02.840	11.700	 11.001	 13.087	vla/OH348.813-02.840.dat	                         	262.0191	-39.8961
17 28 55.82	-33 00 42.0	 	OH354.642+00.830	  -2.3	32.8	17256-3258	  1.03	   1.76	   4.30	    9.66	 -324.90	 -9.13	  0.58	  -1.35	   1.89	  -2.60	       	       	       	2MASS	MSX	354.642	+00.830	32.800	  0.585	  0.188	vla/OH354.642+00.830.dat	                         	262.2326	-33.0117
17 29 04.76	-28 42 06.0	 	OH358.255+03.184	 -62.3	 8.8	17258-2841	 26.54	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	358.255	+03.184	 8.800	  0.799	  0.571	vla/OH358.255+03.184.dat	                         	262.2699	-28.7017
17 29 32.42	-38 48 48.2	 	OH349.873-02.478	 -55.3	 0.0	17260-3846	  0.15	  39.64	  21.41	    5.13	 -170.70	 -9.13	 29.46	  32.44	  24.34	  20.55	       	       	       	2MASS	MSX	349.873	-02.478	 0.000	  0.729	  0.000	vla/OH349.873-02.478.dat	                         	262.3851	-38.8134
17 29 48.92	-35 24 13.8	 	OH352.749-00.644	 -25.7	12.4	17264-3521	  0.20	  20.84	  29.28	   14.37	 -332.10	      	      	       	       	       	 -13.64	 -11.45	   8.38	2MASS	MSX	352.749	-00.644	12.400	  2.627	  2.605	vla/OH352.749-00.644.dat	                         	262.4538	-35.4038
17 30 25.73	-38 21 25.5	 	OH350.350-02.372	-169.2	 0.0	17269-3823	 45.98	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	350.350	-02.372	 0.000	  0.255	  0.000	vla/OH350.350-02.372.dat	                         	262.6072	-38.3571
17 30 27.59	-34 27 46.9	 	OH353.607-00.236	 -84.8	17.5	17271-3425	  0.17	  26.59	  54.35	 -128.50	 -538.00	      	      	       	       	       	 -16.68	 -14.02	   9.44	2MASS	MSX	353.607	-00.236	17.500	  7.184	  3.285	vla/OH353.607-00.236.dat	                         	262.6150	-34.4630
17 30 48.13	-28 49 02.4	 	OH358.366+02.805	 -55.7	15.3	17276-2846	  0.16	   2.50	   7.91	    7.07	  -30.01	 -8.71	  2.10	   2.95	   5.69	   7.07	  10.88	   9.38	   8.76	2MASS	MSX	358.366	+02.805	15.300	  0.712	  0.279	vla/OH358.366+02.805.dat	                         	262.7005	-28.8173
17 31 08.24	-36 18 55.1	 	OH352.135-01.369	 -69.2	15.3	17277-3616	  0.60	   7.12	   5.74	  -20.19	 -215.90	      	      	       	       	       	       	       	       	2MASS	MSX	352.135	-01.369	15.300	  0.254	  0.291	vla/OH352.135-01.369.dat	                         	262.7843	-36.3153
17 31 09.58	-33 22 07.6	 	OH354.601+00.244	-122.8	14.6	17278-3319	  0.35	  -1.97	   3.03	  -24.46	 -273.40	 -9.38	  1.92	   2.82	   3.87	   4.05	  13.74	  11.35	  10.10	2MASS	MSX	354.601	+00.244	14.600	  0.301	  0.598	vla/OH354.601+00.244.dat	                         	262.7899	-33.3688
17 31 11.96	-33 35 48.2	 	OH354.415+00.112	 -74.6	19.0	17279-3333	  1.87	       	       	        	        	      	      	       	       	       	 -16.73	  13.75	   9.87	2MASS	MSX	354.415	+00.112	19.000	  0.443	  0.416	vla/OH354.415+00.112.dat	                         	262.7999	-33.5967
17 31 40.46	-37 18 37.4	 	OH351.361-02.004	  -0.5	11.0	17282-3716	  0.19	   6.63	   6.62	    3.59	 -131.70	 -9.25	  3.08	   5.87	   8.97	   8.16	       	       	       	2MASS	MSX	351.361	-02.004	11.000	  2.609	  2.700	vla/OH351.361-02.004.dat	                         	262.9186	-37.3104
