#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T18:37:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=33	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+AS/92/43/table2
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&tab:{J/A+AS/92/43/table2}&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=LWHM&-out=Source&-out=RA1950&-out=e_RA1950&-out=DE1950&-out=e_DE1950&-out=VH&-out=SH&-out=IH&-out=VL&-out.all=2&-out=SL&-out=IL&-out=C&-out=Vexp&-out=Vc&-out=Date&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+AS/92/43/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/92/43/table2
#-out=LWHM
#-out=Source
#-out=RA1950
#-out=e_RA1950
#-out=DE1950
#-out=e_DE1950
#-out=VH
#-out=SH
#-out=IH
#-out=VL
#-out=SL
#-out=IL
#-out=C
#-out=Vexp
#-out=Vc
#-out=Date
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_40920043
#Name: J/A+AS/92/43
#Title: Radio Obs. of OH/IR stars close to Gal.Center (Lindqvist+ 1992)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_AS_92_43_table2:
#Name: J/A+AS/92/43/table2
#Title: OH/IR stars close to Galactic centre
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	LWHM	(A5)	Source Designation	[ucd=meta.id;meta.main]
#Column	Source	(A15)	OH name (galactic longitude & latitude)	[ucd=meta.id]
#Column	RA1950	(A12)	Right ascension for 1950	[ucd=pos.eq.ra;meta.main]
#Column	e_RA1950	(F6.3)	rms error of RA1950	[ucd=stat.error;pos.eq.ra]
#Column	DE1950	(A12)	Declination 1950	[ucd=pos.eq.dec;meta.main]
#Column	e_DE1950	(F5.2)	rms error of DE1950	[ucd=stat.error;pos.eq.dec]
#Column	VH	(F6.1)	? Radial velocity (LSR) of the high-velocity component	[ucd=spect.dopplerVeloc]
#Column	SH	(F5.2)	? Peak flux density of the high-velocity component	[ucd=phot.flux.density]
#Column	IH	(F5.2)	? Integrated 1612 MHz flux density of the high-velocity component	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	VL	(F6.1)	Radial velocity (LSR) of the low-velocity component	[ucd=phys.veloc]
#Column	SL	(F5.2)	? Peak flux density of the low-velocity component	[ucd=phot.flux.density]
#Column	IL	(F5.2)	? Integrated 1612 MHz flux density of the low-velocity component	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	C	(F5.2)	Correction factor due to the primary beam attenuation	[ucd=arith.factor]
#Column	Vexp	(F4.1)	? Expansion velocity of the shell =(VH-VL)/2	[ucd=phys.veloc.expansion]
#Column	Vc	(F6.1)	? Radial velocity (LSR) of the star = (VH+VL)/2	[ucd=spect.dopplerVeloc]
#Column	Date	(A10)	Date of observation	[ucd=time.epoch]
#Column	Remarks	(A4)	Comments on individual spectra	[ucd=meta.note]
#Column	_RA.icrs	(A12)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A12)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	LWHM	Source	RA1950	e_RA1950	DE1950	e_DE1950	VH	SH	IH	VL	SL	IL	C	Vexp	Vc	Date	Remarks	_RA.icrs	_DE.icrs
266.53344094	-29.15353153	 51  	OH359.873-0.209	17 42 57.068	 0.038	-29 08 05.15	 0.40	  32.3	 0.25	 0.74	  -4.6	 0.06	 0.68	 1.52	18.5	  13.9	1985-07-03	    	17 46 08.026	-29 09 12.71
266.41870698	-29.08423944	 52.1	OH359.880-0.087	17 42 29.643	 0.018	-29 03 53.70	 0.23	 -14.2	 2.16	 6.72	 -34.6	 6.69	19.07	 1.07	10.2	 -24.4	1984-03-04	H,W 	17 45 40.490	-29 05 03.26
266.41871884	-29.08413938	 52.2	OH359.880-0.087	17 42 29.646	 0.020	-29 03 53.34	 0.23	 -14.2	 1.90	 5.65	 -34.6	 6.46	17.05	 2.37	10.2	 -24.4	1985-06-25	H,W 	17 45 40.493	-29 05 02.90
266.38857614	-29.05801842	 53  	OH359.888-0.051	17 42 22.453	 0.029	-29 02 18.78	 0.35	 -36.9	 0.17	 0.48	 -77.5	 0.13	 0.65	 1.04	20.3	 -57.2	1984-03-04	    	17 45 33.258	-29 03 28.87
265.98733087	-28.84181231	 54  	OH359.889+0.361	17 40 46.503	 0.017	-28 49 13.45	 0.28	  93.4	 0.14	 0.50	  57.3	 0.23	 0.56	 1.15	18.1	  75.4	1985-04-19	    	17 43 56.959	-28 50 30.52
266.18769524	-28.94927090	 55  	OH359.890+0.155	17 41 34.417	 0.012	-28 55 43.79	 0.23	 -11.9	 0.32	 0.80	 -41.4	 0.17	 0.51	 1.22	14.8	 -26.6	1985-04-19	    	17 44 45.047	-28 56 57.37
266.13009314	-28.90741049	 56.1	OH359.899+0.222	17 41 20.659	 0.016	-28 53 12.09	 0.21	  48.2	 0.55	 1.58	  13.1	 0.38	 1.03	 2.66	17.6	  30.7	1984-03-04	H,W 	17 44 31.222	-28 54 26.68
266.12867194	-28.90674237	 56.2	OH359.899+0.222	17 41 20.319	 0.006	-28 53 09.66	 0.08	  48.2	 0.89	 2.48	  13.1	 0.67	 2.33	 1.05	17.6	  30.7	1985-04-19	H,W 	17 44 30.881	-28 54 24.27
266.28746128	-28.98797132	 57  	OH359.902+0.061	17 41 58.297	 0.025	-28 58 04.85	 0.42	-113.8	 0.08	 0.38	-153.5	 0.14	 0.19	 1.18	19.9	-133.6	1984-03-03	    	17 45 08.991	-28 59 16.70
266.38950630	-29.03777748	 58  	OH359.906-0.041	17 42 22.707	 0.021	-29 01 05.93	 0.30	-121.7	 0.54	 1.57	-161.4	 0.58	 1.54	 1.01	19.9	-141.5	1984-03-03	W   	17 45 33.482	-29 02 16.00
266.40963293	-29.04264388	 59  	OH359.911-0.059	17 42 27.529	 0.028	-29 01 23.80	 0.31	 -56.2	 0.16	 0.71	-100.2	 0.10	 0.51	 1.00	22.0	 -78.2	1984-03-04	    	17 45 38.312	-29 02 33.52
266.32741406	-28.98315260	 60  	OH359.924+0.034	17 42 07.891	 0.046	-28 57 48.20	 0.76	 -72.1	 0.24	 0.14	 -94.5	 0.13	 0.46	 1.07	11.2	 -83.3	1984-03-04	    	17 45 18.579	-28 58 59.35
266.42544181	-29.02710867	 61  	OH359.932-0.063	17 42 31.346	 0.019	-29 00 28.15	 0.23	 -75.2	 0.55	 2.16	-114.9	 0.59	 3.12	 1.00	19.9	 -95.0	1984-03-04	W   	17 45 42.106	-29 01 37.59
266.44352285	-29.02945716	 62  	OH359.938-0.077	17 42 35.681	 0.020	-29 00 36.92	 0.24	 -70.9	 6.88	29.95	 -95.7	 4.93	21.73	 1.00	12.4	 -83.3	1984-03-04	H,W 	17 45 46.445	-29 01 46.05
266.41950403	-29.01542338	 63  	OH359.939-0.052	17 42 29.939	 0.019	-28 59 45.98	 0.25	  70.9	 0.67	 1.35	  33.5	 0.72	 1.69	 1.00	18.7	  52.2	1984-03-04	W   	17 45 40.681	-29 00 55.52
266.11749960	-28.84885393	 64  	OH359.943+0.260	17 41 17.726	 0.018	-28 49 41.07	 0.20	-168.3	 0.21	 1.35	-202.3	 0.47	 2.09	 1.00	17.0	-185.3	1985-04-18	    	17 44 28.200	-28 50 55.87
266.41933143	-29.00660185	 65  	OH359.946-0.047	17 42 29.911	 0.021	-28 59 14.22	 0.26	  -7.4	 0.44	 2.86	 -47.1	 0.40	 3.69	 1.00	19.9	 -27.2	1984-03-04	W   	17 45 40.640	-29 00 23.77
266.41097849	-28.99588384	 66  	OH359.952-0.036	17 42 27.923	 0.026	-28 58 35.49	 0.35	  95.6	 1.06	 4.44	  68.7	 0.23	 0.87	 1.00	13.5	  82.2	1984-03-04	W   	17 45 38.635	-28 59 45.18
266.41740093	-28.99658883	 67  	OH359.954-0.041	17 42 29.463	 0.019	-28 58 38.14	 0.22	  89.9	 2.12	10.22	  50.5	 1.91	 7.89	 1.00	19.7	  70.2	1984-03-04	W   	17 45 40.176	-28 59 47.72
266.40843076	-28.99040444	 68  	OH359.955-0.031	17 42 27.320	 0.027	-28 58 15.72	 0.54	  85.4	 0.08	 0.45	  46.0	 0.07	 0.38	 1.00	19.7	  65.7	1984-03-04	    	17 45 38.023	-28 59 25.46
266.43473457	-28.98687687	 69  	OH359.970-0.049	17 42 33.637	 0.036	-28 58 03.48	 0.40	  94.5	 0.14	 0.74	  37.5	 0.06	 0.69	 1.00	28.5	  66.0	1984-03-04	R   	17 45 44.336	-28 59 12.76
266.50402789	-29.02308318	 70.1	OH359.971-0.119	17 42 50.209	 0.025	-29 00 15.03	 0.32	  10.8	 0.24	 1.28	 -27.8	 0.42	 2.07	 1.06	19.3	  -8.5	1984-03-04	H,W 	17 46 00.967	-29 01 23.10
266.50378358	-29.02333159	 70.2	OH359.971-0.119	17 42 50.150	 0.027	-29 00 15.92	 0.34	  10.8	 0.15	 0.82	 -27.8	 0.46	 1.90	 2.33	19.3	  -8.5	1985-07-03	H,W 	17 46 00.908	-29 01 23.99
266.23179545	-28.87402821	 71.1	OH359.974+0.162	17 41 45.113	 0.030	-28 51 13.69	 0.38	  49.4	 0.27	 0.61	   0.6	 0.15	 0.94	 1.79	24.4	  25.0	1984-03-04	    	17 44 55.631	-28 52 26.50
266.23172918	-28.87409242	 71.2	OH359.974+0.162	17 41 45.097	 0.014	-28 51 13.92	 0.25	  49.4	 0.39	 0.74	   1.7	 0.18	 0.77	 1.15	23.9	  25.6	1985-04-19	    	17 44 55.615	-28 52 26.73
266.47647223	-29.00070531	 72  	OH359.977-0.087	17 42 43.631	 0.021	-28 58 53.99	 0.25	  27.8	 0.56	 2.53	  -6.2	 0.68	 3.82	 1.02	17.0	  10.8	1984-03-04	W   	17 45 54.353	-29 00 02.54
266.45603084	-28.98034853	 73  	OH359.986-0.061	17 42 38.757	 0.019	-28 57 40.35	 0.23	  32.4	 0.98	 4.98	  -7.4	 1.24	 6.38	 1.00	19.9	  12.5	1984-03-04	W   	17 45 49.447	-28 58 49.25
266.54325821	-29.01480951	 74  	OH359.996-0.144	17 42 59.635	 0.023	-28 59 45.93	 0.30	 -23.8	 0.04	 0.22	 -51.6	 0.16	 0.28	 1.13	13.9	 -37.7	1984-03-04	W,R 	17 46 10.382	-29 00 53.31
266.46385047	-28.96872710	 75  	OH359.999-0.061	17 42 40.651	 0.035	-28 56 58.65	 0.40	 125.1	 0.10	 0.30	  86.5	 0.07	 0.49	 1.01	19.3	 105.8	1984-03-05	    	17 45 51.324	-28 58 07.42
266.06238717	-28.75168890	 76  	OH0.001+0.352  	17 41 04.649	 0.012	-28 43 50.32	 0.20	 133.1	 0.60	 0.86	 113.8	 0.35	 0.78	 1.10	 9.7	 123.5	1985-04-20	H   	17 44 14.973	-28 45 06.08
266.49552911	-28.97619864	 77  	OH0.007-0.088  	17 42 48.241	 0.040	-28 57 26.10	 0.56	  26.7	 0.17	 0.77	 -18.7	 0.06	 0.47	 1.05	22.7	   4.0	1984-03-04	    	17 45 58.927	-28 58 34.31
266.26484839	-28.84041748	 78.1	OH0.018+0.156  	17 41 53.095	 0.036	-28 49 13.27	 0.50	 109.3	 0.18	 0.24	  95.6	 0.28	 0.47	 1.82	 6.9	 102.5	1984-03-05	    	17 45 03.564	-28 50 25.50
266.26371454	-28.83971463	 78.2	OH0.018+0.156  	17 41 52.824	 0.013	-28 49 10.72	 0.22	 109.3	 0.17	 0.52	  95.6	 0.28	 0.64	 1.24	 6.9	 102.5	1985-04-20	    	17 45 03.291	-28 50 22.97
266.08020928	-28.73937735	 79  	OH0.019+0.345  	17 41 08.944	 0.012	-28 43 06.31	 0.10	  39.2	 0.18	 0.73	  -8.5	 0.38	 1.31	 1.12	23.9	  15.4	1985-04-19	    	17 44 19.250	-28 44 21.76
266.60385512	-28.99996269	 80.1	OH0.036-0.182  	17 43 14.198	 0.040	-28 58 53.54	 0.59	 171.7	 0.07	 0.66	 134.2	 0.18	 0.65	 1.40	18.8	 153.0	1984-03-05	    	17 46 24.925	-28 59 59.87
266.60372131	-29.00054946	 80.2	OH0.036-0.182  	17 43 14.165	 0.024	-28 58 55.65	 0.27	 171.7	 0.12	 0.88	 134.2	 0.21	 0.73	 1.78	18.8	 153.0	1985-07-07	    	17 46 24.893	-29 00 01.98
266.48374820	-28.93088004	 81.1	OH0.040-0.056  	17 42 45.483	 0.024	-28 54 42.75	 0.31	  92.2	 0.44	 1.32	  50.5	 0.37	 1.16	 1.09	20.9	  71.4	1984-03-04	W   	17 45 56.100	-28 55 51.17
266.48374338	-28.93077728	 81.2	OH0.040-0.056  	17 42 45.482	 0.021	-28 54 42.38	 0.29	  92.2	 0.25	 0.58	  50.5	 0.25	 0.87	 2.00	20.9	  71.4	1985-03-30	W   	17 45 56.098	-28 55 50.80
266.49772368	-28.92327328	 82  	OH0.053-0.062  	17 42 48.848	 0.047	-28 54 15.61	 0.61	   4.0	 0.12	 0.61	 -31.2	 0.08	 0.31	 1.13	17.6	 -13.6	1984-03-04	W   	17 45 59.454	-28 55 23.78
266.45819816	-28.89413388	 83.1	OH0.060-0.018  	17 42 39.408	 0.026	-28 52 30.02	 0.30	  15.3	 0.55	 2.44	 -23.3	 0.18	 1.15	 1.16	19.3	  -4.0	1984-03-04	    	17 45 49.968	-28 53 38.88
266.45797614	-28.89395440	 83.2	OH0.060-0.018  	17 42 39.355	 0.018	-28 52 29.37	 0.21	  15.3	 0.51	 2.47	 -23.3	 0.11	 0.94	 1.80	19.3	  -4.0	1985-03-30	    	17 45 49.914	-28 53 38.24
266.32353860	-28.80988531	 84.1	OH0.071+0.127  	17 42 07.224	 0.024	-28 47 24.38	 0.33	 -17.6	 0.30	 1.13	 -53.9	 0.11	 0.97	 1.68	18.2	 -35.7	1984-03-04	    	17 45 17.649	-28 48 35.59
266.32345824	-28.80969959	 84.2	OH0.071+0.127  	17 42 07.205	 0.019	-28 47 23.71	 0.32	 -17.6	 0.30	 1.34	 -55.0	 0.09	 0.71	 1.59	18.7	 -36.3	1985-04-19	    	17 45 17.630	-28 48 34.92
266.64714377	-28.98238863	 85.1	OH0.071-0.205  	17 43 24.612	 0.021	-28 57 51.03	 0.28	 126.3	 2.39	10.46	  99.0	 1.63	 5.67	 1.70	13.7	 112.7	1984-03-05	H,W 	17 46 35.315	-28 58 56.60
266.64716547	-28.98252463	 85.2	OH0.071-0.205  	17 43 24.617	 0.007	-28 57 51.52	 0.11	 126.3	 0.92	 4.65	  99.0	 0.67	 2.19	 2.35	13.7	 112.7	1985-03-31	H,W 	17 46 35.320	-28 58 57.09
266.64720773	-28.98261610	 85.3	OH0.071-0.205  	17 43 24.627	 0.022	-28 57 51.85	 0.27	 126.3	 1.99	 8.63	  99.0	 1.33	 4.45	 1.77	13.7	 112.7	1985-07-07	H,W 	17 46 35.330	-28 58 57.42
266.30810191	-28.79533213	 86.1	OH0.076+0.146  	17 42 03.542	 0.029	-28 46 31.72	 0.36	  42.6	 0.71	 1.70	   0.6	 0.21	 0.74	 2.01	21.0	  21.6	1984-03-04	W   	17 45 13.944	-28 47 43.20
266.30805568	-28.79527124	 86.2	OH0.076+0.146  	17 42 03.531	 0.012	-28 46 31.50	 0.17	  42.6	 0.52	 0.65	   1.7	 0.21	 0.56	 2.69	20.5	  22.2	1985-03-30	W   	17 45 13.933	-28 47 42.98
266.30806817	-28.79526840	 86.3	OH0.076+0.146  	17 42 03.534	 0.011	-28 46 31.49	 0.19	  42.6	 0.65	 1.67	   0.6	 0.21	 1.12	 1.51	21.0	  21.6	1985-04-19	W   	17 45 13.936	-28 47 42.97
266.56352704	-28.92834321	 87.1	OH0.079-0.114  	17 43 04.630	 0.019	-28 54 35.01	 0.24	  64.1	 0.28	 1.07	  35.8	 0.50	 1.59	 1.31	14.2	  50.0	1984-03-04	W   	17 46 15.246	-28 55 42.04
266.56362688	-28.92831495	 87.2	OH0.079-0.114  	17 43 04.654	 0.008	-28 54 34.91	 0.12	  65.3	 0.30	 1.31	  35.8	 0.59	 1.90	 1.71	14.8	  50.6	1985-03-30	W   	17 46 15.270	-28 55 41.93
266.56352938	-28.92871265	 87.3	OH0.079-0.114  	17 43 04.630	 0.027	-28 54 36.34	 0.33	  64.1	 0.32	 0.89	  35.8	 0.53	 1.44	 3.04	14.2	  50.0	1985-07-03	W   	17 46 15.247	-28 55 43.37
266.39231860	-28.83221338	 88  	OH0.083+0.064  	17 42 23.694	 0.033	-28 48 45.96	 0.41	  42.6	 0.16	 0.91	   4.0	 0.20	 0.79	 1.47	19.3	  23.3	1984-03-04	    	17 45 34.156	-28 49 55.97
266.87909328	-29.07599857	 89  	OH0.096-0.427  	17 44 20.127	 0.023	-29 03 32.07	 0.27	 105.8	 0.34	 1.06	  67.5	 0.30	 0.53	 1.38	19.2	  86.7	1985-07-03	    	17 47 30.982	-29 04 33.59
266.53121977	-28.87087950	 90.1	OH0.113-0.060  	17 42 56.965	 0.022	-28 51 07.58	 0.28	 104.7	 0.58	 3.61	  70.9	 0.64	 2.58	 1.41	16.9	  87.8	1984-03-04	W   	17 46 07.493	-28 52 15.17
266.53120776	-28.87095733	 90.2	OH0.113-0.060  	17 42 56.962	 0.010	-28 51 07.86	 0.11	 104.7	 0.45	 2.73	  70.9	 0.59	 1.98	 1.37	16.9	  87.8	1985-03-30	W   	17 46 07.490	-28 52 15.45
266.38123231	-28.77268563	 91.1	OH0.129+0.103  	17 42 21.124	 0.028	-28 45 11.47	 0.35	 -41.4	 1.06	 2.79	 -64.1	 0.42	 1.47	 2.05	11.4	 -52.7	1984-03-04	H,W 	17 45 31.496	-28 46 21.67
266.38112047	-28.77279450	 91.2	OH0.129+0.103  	17 42 21.097	 0.008	-28 45 11.86	 0.11	 -41.4	 1.41	 3.70	 -64.1	 0.64	 2.49	 1.74	11.4	 -52.7	1985-03-30	H,W 	17 45 31.469	-28 46 22.06
266.38121931	-28.77260791	 91.3	OH0.129+0.103  	17 42 21.121	 0.010	-28 45 11.19	 0.17	 -41.4	 1.23	 3.01	 -64.1	 0.57	 2.17	 2.21	11.4	 -52.7	1985-04-19	H,W 	17 45 31.493	-28 46 21.39
266.50146814	-28.83660098	 92  	OH0.129-0.020  	17 42 49.878	 0.023	-28 49 03.66	 0.32	 112.7	 0.08	 0.17	  76.3	 0.13	 0.34	 1.29	18.2	  94.5	1985-03-31	    	17 46 00.352	-28 50 11.76
266.50710880	-28.83362636	 93  	OH0.134-0.023  	17 42 51.236	 0.024	-28 48 53.05	 0.33	   0.6	 0.12	 0.55	 -41.4	 0.10	 0.81	 1.26	21.0	 -20.4	1985-03-30	    	17 46 01.706	-28 50 01.05
266.61949896	-28.88859897	 94  	OH0.138-0.136  	17 43 18.121	 0.022	-28 52 12.91	 0.23	  60.7	 0.12	 0.40	  19.9	 0.10	 0.55	 1.38	20.4	  40.3	1985-03-30	    	17 46 28.680	-28 53 18.96
266.46406988	-28.80175674	 95.1	OH0.142+0.026  	17 42 40.957	 0.025	-28 46 57.57	 0.33	  47.1	 0.73	 4.12	   0.6	 0.30	 1.33	 1.74	23.3	  23.9	1984-03-04	W   	17 45 51.377	-28 48 06.32
266.46392034	-28.80183524	 95.2	OH0.142+0.026  	17 42 40.921	 0.007	-28 46 57.85	 0.10	  47.1	 1.22	 6.06	   0.6	 0.59	 2.95	 1.31	23.3	  23.9	1985-03-30	W   	17 45 51.341	-28 48 06.61
266.46396473	-28.80160447	 95.3	OH0.142+0.026  	17 42 40.932	 0.015	-28 46 57.02	 0.25	  47.1	 0.58	 3.96	   0.6	 0.23	 0.98	 3.75	23.3	  23.9	1985-04-19	W   	17 45 51.352	-28 48 05.78
266.30189453	-28.67867983	 96  	OH0.173+0.211  	17 42 02.229	 0.021	-28 39 31.67	 0.34	  63.0	 0.18	 0.92	  28.9	 0.32	 0.71	 2.02	17.1	  46.0	1985-04-19	    	17 45 12.455	-28 40 43.25
266.56400620	-28.81297795	 97.1	OH0.178-0.055  	17 43 04.920	 0.023	-28 47 39.71	 0.28	 -21.0	 0.96	 2.58	 -52.8	 0.28	 0.90	 2.02	15.9	 -36.9	1984-03-04	W   	17 46 15.361	-28 48 46.72
266.56398621	-28.81311139	 97.2	OH0.178-0.055  	17 43 04.915	 0.009	-28 47 40.19	 0.13	 -19.9	 0.95	 2.28	 -52.8	 0.36	 1.10	 1.09	16.5	 -36.3	1985-03-30	W   	17 46 15.357	-28 48 47.20
266.60671269	-28.83380733	 98.1	OH0.180-0.098  	17 43 15.136	 0.048	-28 48 55.44	 0.62	 141.0	 0.20	 0.61	 117.2	 0.11	 0.24	 2.21	11.9	 129.1	1984-03-05	    	17 46 25.611	-28 50 01.71
266.60767740	-28.83346931	 98.2	OH0.180-0.098  	17 43 15.368	 0.014	-28 48 54.24	 0.19	 141.0	 0.22	 1.11	 101.3	 0.11	 0.52	 1.13	19.9	 121.2	1985-03-31	    	17 46 25.843	-28 50 00.49
266.46681083	-28.74740093	 99.1	OH0.189+0.052  	17 42 41.697	 0.020	-28 43 41.94	 0.24	  30.1	 0.33	 0.74	  -9.6	 0.57	 2.32	 2.43	19.9	  10.3	1984-03-04	W   	17 45 52.035	-28 44 50.64
266.46644046	-28.74748606	 99.2	OH0.189+0.052  	17 42 41.608	 0.010	-28 43 42.24	 0.13	  28.9	 0.17	 0.62	  -9.6	 0.46	 1.62	 1.22	19.3	   9.7	1985-03-30	W   	17 45 51.946	-28 44 50.95
266.48250852	-28.75579162	100.1	OH0.190+0.036  	17 42 45.451	 0.020	-28 44 12.42	 0.27	 173.9	 3.00	11.89	 144.4	 2.71	13.92	 2.35	14.8	 159.2	1984-03-05	H,W 	17 45 55.802	-28 45 20.85
266.48265017	-28.75512426	100.2	OH0.190+0.036  	17 42 45.486	 0.007	-28 44 10.02	 0.10	 173.9	 2.31	10.03	 144.4	 1.86	 9.29	 1.16	14.8	 159.2	1985-03-31	H,W 	17 45 55.836	-28 45 18.45
266.48270363	-28.75501011	100.3	OH0.190+0.036  	17 42 45.499	 0.011	-28 44 09.61	 0.20	 173.9	 1.24	 4.45	 144.4	 1.11	 5.00	 4.91	14.8	 159.2	1985-04-20	H,W 	17 45 55.849	-28 45 18.04
266.29777874	-28.64386589	101  	OH0.200+0.233  	17 42 01.294	 0.015	-28 37 26.27	 0.26	 -51.6	 0.34	 0.94	 -83.2	 0.24	 0.76	 2.34	15.8	 -67.4	1985-04-19	    	17 45 11.467	-28 38 37.92
266.47184949	-28.73288738	102  	OH0.204+0.056  	17 42 42.928	 0.043	-28 42 49.78	 0.44	 143.3	 0.11	 0.27	 105.8	 0.05	 0.03	 1.18	18.8	 124.6	1985-03-31	    	17 45 53.244	-28 43 58.39
266.51203415	-28.73911210	103  	OH0.217+0.023  	17 42 52.561	 0.020	-28 43 12.89	 0.38	  49.4	 0.09	 0.42	  11.9	 0.08	 0.40	 1.08	18.8	  30.7	1985-03-30	    	17 46 02.888	-28 44 20.80
266.37271066	-28.65975571	104  	OH0.221+0.168  	17 42 19.250	 0.015	-28 38 24.78	 0.26	  80.9	 0.11	 0.39	  42.6	 0.37	 0.84	 1.91	19.2	  61.8	1985-03-30	    	17 45 29.451	-28 39 35.12
266.59182387	-28.77333690	105.1	OH0.225-0.055  	17 43 11.655	 0.019	-28 45 17.49	 0.25	 -90.0	 0.59	 1.95	-122.9	 0.40	 0.66	 2.75	16.5	-106.4	1984-03-03	    	17 46 22.038	-28 46 24.01
266.59212513	-28.77286598	105.2	OH0.225-0.055  	17 43 11.728	 0.008	-28 45 15.80	 0.12	 -90.0	 1.09	 2.52	-122.9	 0.64	 1.51	 1.04	16.5	-106.4	1985-03-29	    	17 46 22.110	-28 46 22.32
266.56217825	-28.73794675	106  	OH0.241-0.014  	17 43 04.595	 0.024	-28 43 09.57	 0.35	  53.4	 0.04	 0.34	  16.5	 0.15	 0.92	 1.01	18.5	  35.0	1985-03-30	R   	17 46 14.923	-28 44 16.61
266.69921684	-28.78746915	107  	OH0.261-0.143  	17 43 37.403	 0.008	-28 46 10.24	 0.10	  31.2	 0.41	 1.08	  22.1	 0.21	 1.05	 1.11	 4.6	  26.7	1985-03-30	    	17 46 47.812	-28 47 14.89
266.63809642	-28.75040661	108  	OH0.265-0.078  	17 43 22.793	 0.020	-28 43 55.75	 0.31	  30.0	 0.04	 0.22	  -6.2	 0.18	 0.62	 1.00	18.1	  11.9	1985-03-30	R   	17 46 33.143	-28 45 01.46
266.48374103	-28.65775355	109  	OH0.274+0.086  	17 42 45.895	 0.009	-28 38 19.51	 0.12	 127.4	 0.15	 0.66	  78.6	 0.41	 1.09	 1.24	24.4	 103.0	1985-03-31	    	17 45 56.098	-28 39 27.91
266.75922230	-28.76543614	110  	OH0.307-0.176  	17 43 51.835	 0.013	-28 44 51.97	 0.19	  11.9	 0.19	 0.54	 -28.9	 0.17	 0.93	 1.25	20.4	  -8.5	1985-03-30	    	17 47 02.213	-28 45 55.57
266.63396753	-28.68447282	111  	OH0.319-0.040  	17 43 21.902	 0.007	-28 39 58.32	 0.10	  92.2	 3.47	13.00	  57.3	 1.37	 7.51	 1.02	17.5	  74.8	1985-03-30	H   	17 46 32.152	-28 41 04.10
266.73606180	-28.72283390	112  	OH0.333-0.137  	17 43 46.342	 0.014	-28 42 18.20	 0.19	  92.2	 0.27	 0.91	  58.4	 0.18	 0.31	 1.14	16.9	  75.3	1985-03-30	    	17 46 56.655	-28 43 22.20
266.63074228	-28.66336035	113  	OH0.336-0.027  	17 43 21.160	 0.008	-28 38 42.26	 0.25	  55.0	 0.04	 0.20	  21.0	 0.13	 0.51	 1.03	17.0	  38.0	1985-03-30	    	17 46 31.378	-28 39 48.10
266.56039473	-28.61093951	114  	OH0.349+0.053  	17 43 04.359	 0.015	-28 35 32.32	 0.18	  46.0	 0.26	 0.62	  17.6	 0.13	 0.48	 1.22	14.2	  31.8	1985-03-30	    	17 46 14.495	-28 36 39.38
266.44426117	-28.54424594	115  	OH0.352+0.175  	17 42 36.593	 0.020	-28 31 30.20	 0.26	  28.9	 0.19	 0.31	  -7.4	 0.24	 0.71	 2.09	18.2	  10.8	1985-03-30	    	17 45 46.623	-28 32 39.28
