#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:49:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a88eed8b82	
#INFO	-out.max=unlimited	
#INFO	queryParameters=75	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/MNRAS/505/6051&tab:{J/MNRAS/505/6051/table1}&tab:{J/MNRAS/505/6051/table3}&tab:{J/MNRAS/505/6051/table5}&tab:{J/MNRAS/505/6051/table6}&key:source=J/MNRAS/505/6051&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/505/6051/table1,J/MNRAS/505/6051/table3,J/MNRAS/505/6051/table5,J/MNRAS/505/6051/table6
#-order=I
#-out=IRAS
#-out=OName
#-out=RAICRS
#-out=DEICRS
#-out=CRef
#-out=Group
#-out=Simbad
#Simbad=Simbad
#-out=JD
#-out=Filter
#-out=mag
#-out.all=2
#-out=e_mag
#-out=Origin
#-out=o_Jmag
#-out=AmpJ
#-out=JmagMean
#-out=o_Hmag
#-out=AmpH
#-out=HmagMean
#-out=o_Kmag
#-out=AmpK
#-out=KmagMean
#-out=o_Omag
#-out=AmpO
#-out.all=2
#-out=OmagMean
#-out=Survey
#-out=Bands
#-out=P
#-out=e_P
#-out=FitLCO
#-out=FitPerO
#-out=e_FitPerO
#-out=FitAmpO
#-out=FitOmagMean
#-out=FitAsyFactO
#-out=Fitt0O
#-out=FitLCJ
#-out.all=2
#-out=FitPerJ
#-out=e_FitPerJ
#-out=FitAmpJ
#-out=FitJmagMean
#-out=FitAsymFactJ
#-out=Fitt0J
#-out=FitLCH
#-out=FitPerH
#-out=e_FitPerH
#-out=FitAmpH
#-out=FitHmagMean
#-out=FitAsymFactH
#-out=Fitt0H
#-out.all=2
#-out=FitLCK
#-out=FitPerK
#-out=e_FitPerK
#-out=FitAmpK
#-out=FitKmagMean
#-out=FitAsymFactK
#-out=Fitt0K
#-out.all=2
#
#INFO	CatalogsExamined=4	
#  4 catalogues with potential matches were examined.
#

#RESOURCE=yCat_75056051
#Name: J/MNRAS/505/6051
#Title: Arecibo sample variability properties (Jimenez-Esteban+, 2021)
#Coosys	H:	ICRS
#Table	J_MNRAS_505_6051_table1:
#Name: J/MNRAS/505/6051/table1
#Title: Arecibo sources positions and classifications
#Column	_RAJ2000	(A14)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A14)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(A10)	IRAS name (HHMMm+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	RAICRS	(F10.6)	ICRS (Hipparcos) Right Ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F10.6)	ICRS (Hipparcos) Declination (J2000.0 )	[ucd=pos.eq.dec;meta.main]
#Column	CRef	(A7)	Coordinates Source (AllWISE or 2MASS)	[ucd=meta.bib]
#Column	Group	(I1)	[1/4] Flag for groups (1)	[ucd=meta.code.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
_RAJ2000	_DEJ2000	IRAS	OName	RAICRS	DEICRS	CRef	Group	Simbad
18276+0839	2452488	J	 7.013	 0.016	NIR-MP
18276+0839	2453187	J	 6.823	 0.016	NIR-MP
18276+0839	2451368	J	 7.860	 0.011	NIR-MP
18276+0839	2452852	J	 6.897	 0.007	NIR-MP
18276+0839	2451368	K	 6.266	 0.008	NIR-MP
18276+0839	2452852	K	 5.505	 0.007	NIR-MP
18276+0839	2451751	K	 5.996	 0.020	NIR-MP
18276+0839	2452488	K	 5.596	 0.115	NIR-MP
18278+0931	2451382	H	 5.475	 0.027	2MASS
18278+0931	2451382	J	 7.016	 0.030	2MASS
18278+0931	2451382	K	 4.517	 0.018	2MASS
18278+0931	2451364	H	 5.408	 0.010	NIR-MP
18278+0931	2451744	H	 6.331	 0.162	NIR-MP
18278+0931	2452037	H	 5.498	 0.009	NIR-MP
18278+0931	2452486	H	 5.122	 0.004	NIR-MP
18278+0931	2452852	H	 6.296	 0.006	NIR-MP
18278+0931	2452420	H	 5.309	 0.009	NIR-MP
18278+0931	2451364	J	 6.867	 0.009	NIR-MP
18278+0931	2452037	J	 6.956	 0.008	NIR-MP
18278+0931	2452420	J	 6.483	 0.009	NIR-MP
18278+0931	2452486	J	 6.390	 0.012	NIR-MP
18278+0931	2452852	J	 7.916	 0.011	NIR-MP
18278+0931	2451744	J	 7.671	 0.007	NIR-MP
18278+0931	2453187	J	 6.990	 0.035	NIR-MP
18278+0931	2452037	K	 4.703	 0.011	NIR-MP
18278+0931	2451369	K	 4.553	 0.030	NIR-MP
18278+0931	2451744	K	 5.497	 0.038	NIR-MP
18278+0931	2452420	K	 4.409	 0.009	NIR-MP
18278+0931	2452486	K	 4.505	 0.040	NIR-MP
18278+0931	2452852	K	 5.270	 0.010	NIR-MP
18307+0102	2451702	H	 8.463	 0.042	2MASS
18307+0102	2451702	J	10.480	 0.023	2MASS
18307+0102	2451702	K	 6.902	 0.026	2MASS
18307+0102	2451785	J	11.102	 0.070	DENIS
18307+0102	2451785	K	 7.281	 0.070	DENIS
18307+0102	2451365	H	 8.698	 0.010	NIR-MP
18307+0102	2451744	H	 8.711	 0.010	NIR-MP
18307+0102	2452037	H	 7.574	 0.006	NIR-MP
18307+0102	2452118	H	 7.891	 0.005	NIR-MP
18307+0102	2452434	H	 7.904	 0.006	NIR-MP
18307+0102	2452487	H	 7.679	 0.007	NIR-MP
18307+0102	2452850	H	 8.737	 0.010	NIR-MP
18307+0102	2453187	H	 8.035	 0.015	NIR-MP
18307+0102	2451365	J	10.899	 0.020	NIR-MP
18307+0102	2452037	J	 9.548	 0.005	NIR-MP
18307+0102	2452118	J	 9.913	 0.006	NIR-MP
18307+0102	2452434	J	 9.967	 0.005	NIR-MP
18307+0102	2452487	J	 9.690	 0.005	NIR-MP
18307+0102	2452850	J	11.001	 0.012	NIR-MP
18307+0102	2451744	J	10.794	 0.019	NIR-MP
18307+0102	2451365	K	 6.943	 0.013	NIR-MP
18307+0102	2452037	K	 6.036	 0.005	NIR-MP
18307+0102	2452118	K	 6.377	 0.010	NIR-MP
18307+0102	2452434	K	 6.307	 0.008	NIR-MP
18307+0102	2452487	K	 6.127	 0.008	NIR-MP
18307+0102	2452850	K	 7.139	 0.011	NIR-MP
18307+0102	2451744	K	 7.111	 0.008	NIR-MP
18318+0150	2451397	H	 8.393	 0.026	2MASS
18318+0150	2451397	J	10.827	 0.023	2MASS
18318+0150	2451397	K	 6.787	 0.023	2MASS
18318+0150	2451321	J	11.108	 0.080	DENIS
18318+0150	2451321	K	 7.061	 0.080	DENIS
18318+0150	2451368	H	 8.437	 0.006	NIR-MP
18318+0150	2451747	H	 9.021	 0.008	NIR-MP
18318+0150	2452043	H	 8.869	 0.014	NIR-MP
18318+0150	2452118	H	 9.343	 0.008	NIR-MP
18318+0150	2452414	H	 8.098	 0.006	NIR-MP
18318+0150	2452487	H	 8.401	 0.006	NIR-MP
18318+0150	2452529	H	 8.783	 0.140	NIR-MP
18318+0150	2452833	H	 8.005	 0.014	NIR-MP
18318+0150	2452850	H	 8.010	 0.021	NIR-MP
18318+0150	2452887	H	 8.062	 0.020	NIR-MP
18318+0150	2453194	H	 9.482	 0.013	NIR-MP
18318+0150	2453263	H	 8.757	 0.015	NIR-MP
18318+0150	2452423	H	 8.102	 0.005	NIR-MP
18318+0150	2451368	J	10.831	 0.006	NIR-MP
18318+0150	2451747	J	11.575	 0.024	NIR-MP
18318+0150	2452043	J	11.407	 0.009	NIR-MP
18318+0150	2452118	J	12.022	 0.008	NIR-MP
18318+0150	2452414	J	10.467	 0.005	NIR-MP
18318+0150	2452487	J	10.775	 0.006	NIR-MP
18318+0150	2452529	J	11.134	 0.106	NIR-MP
18318+0150	2452833	J	10.363	 0.012	NIR-MP
18318+0150	2452850	J	10.316	 0.009	NIR-MP
18318+0150	2452887	J	10.303	 0.027	NIR-MP
18318+0150	2453194	J	12.331	 0.037	NIR-MP
18318+0150	2453263	J	11.104	 0.007	NIR-MP
18318+0150	2452423	J	10.498	 0.007	NIR-MP
18318+0150	2451368	K	 6.745	 0.008	NIR-MP
18318+0150	2452043	K	 7.246	 0.009	NIR-MP
18318+0150	2452118	K	 7.585	 0.012	NIR-MP
18318+0150	2452414	K	 6.505	 0.007	NIR-MP
18318+0150	2452487	K	 6.823	 0.008	NIR-MP
18318+0150	2452529	K	 7.018	 0.016	NIR-MP
18318+0150	2452850	K	 6.448	 0.014	NIR-MP
18318+0150	2452887	K	 6.544	 0.021	NIR-MP
18318+0150	2453184	K	 7.661	 0.015	NIR-MP
18318+0150	2453263	K	 7.113	 0.012	NIR-MP
18318+0150	2453533	K	 7.118	 0.013	NIR-MP
18318+0150	2451747	K	 7.264	 0.008	NIR-MP
18318+0150	2452423	K	 6.559	 0.006	NIR-MP
18318+0150	2453194	K	 7.526	 0.152	NIR-MP
18318+0150	2452833	K	 6.539	 0.005	NIR-MP
18333+0903	2451702	H	 6.895	 0.044	2MASS
18333+0903	2451702	J	 8.301	 0.034	2MASS
18333+0903	2451702	K	 5.874	 0.024	2MASS
18333+0903	2452041	H	 7.940	 0.027	NIR-MP
18333+0903	2452118	H	 7.612	 0.008	NIR-MP
18333+0903	2452415	H	 7.394	 0.018	NIR-MP
18333+0903	2452424	H	 7.471	 0.009	NIR-MP
18333+0903	2452488	H	 7.771	 0.008	NIR-MP
18333+0903	2452529	H	 7.654	 0.080	NIR-MP
18333+0903	2452833	H	 7.296	 0.013	NIR-MP
18333+0903	2452851	H	 7.558	 0.011	NIR-MP
18333+0903	2452888	H	 8.033	 0.017	NIR-MP
18333+0903	2451368	H	 6.725	 0.009	NIR-MP
18333+0903	2451747	H	 6.526	 0.008	NIR-MP
18333+0903	2453196	H	 6.570	 0.058	NIR-MP
18333+0903	2451368	J	 7.848	 0.008	NIR-MP
18333+0903	2452041	J	 9.261	 0.016	NIR-MP
18333+0903	2452118	J	 8.912	 0.022	NIR-MP
18333+0903	2452415	J	 8.766	 0.020	NIR-MP
18333+0903	2452424	J	 8.841	 0.011	NIR-MP
18333+0903	2452488	J	 9.261	 0.009	NIR-MP
18333+0903	2452529	J	 9.024	 0.156	NIR-MP
18333+0903	2452851	J	 8.949	 0.014	NIR-MP
18333+0903	2452888	J	 9.506	 0.017	NIR-MP
18333+0903	2453196	J	 7.756	 0.072	NIR-MP
18333+0903	2452833	J	 8.868	 0.007	NIR-MP
18333+0903	2451747	J	 7.959	 0.018	NIR-MP
18333+0903	2452118	K	 6.508	 0.034	NIR-MP
18333+0903	2452415	K	 6.407	 0.039	NIR-MP
18333+0903	2452488	K	 6.705	 0.015	NIR-MP
18333+0903	2452529	K	 6.456	 0.109	NIR-MP
18333+0903	2452888	K	 6.840	 0.024	NIR-MP
18333+0903	2453183	K	 5.648	 0.014	NIR-MP
18333+0903	2453264	K	 6.288	 0.051	NIR-MP
18333+0903	2451747	K	 5.650	 0.010	NIR-MP
18333+0903	2453538	K	 5.443	 0.006	NIR-MP
18333+0903	2451368	K	 5.842	 0.010	NIR-MP
18333+0903	2452851	K	 6.475	 0.121	NIR-MP
18333+0903	2453196	K	 5.810	 0.044	NIR-MP
18333+0903	2452041	K	 6.689	 0.234	NIR-MP
18333+0903	2452424	K	 6.484	 0.051	NIR-MP
18333+0903	2452833	K	 6.495	 0.006	NIR-MP
18341+0005	2451397	H	 7.699	 0.036	2MASS
18341+0005	2451397	J	10.317	 0.023	2MASS
18341+0005	2451397	K	 6.032	 0.023	2MASS
18341+0005	2451051	J	 8.644	 0.100	DENIS
18341+0005	2451051	K	 4.244	 0.240	DENIS
18341+0005	2451363	H	 7.369	 0.005	NIR-MP
18341+0005	2452043	H	 8.346	 0.009	NIR-MP
18341+0005	2452118	H	 8.215	 0.021	NIR-MP
18341+0005	2452415	H	 6.758	 0.009	NIR-MP
18341+0005	2452424	H	 6.888	 0.008	NIR-MP
18341+0005	2452487	H	 7.464	 0.007	NIR-MP
18341+0005	2452529	H	 8.007	 0.160	NIR-MP
18341+0005	2452850	H	 6.368	 0.010	NIR-MP
18341+0005	2452887	H	 6.664	 0.030	NIR-MP
18341+0005	2451747	H	 6.205	 0.009	NIR-MP
18341+0005	2452833	H	 6.464	 0.005	NIR-MP
18341+0005	2453194	H	 7.444	 0.035	NIR-MP
18341+0005	2451363	J	 9.799	 0.009	NIR-MP
18341+0005	2451747	J	 8.574	 0.155	NIR-MP
18341+0005	2452043	J	11.046	 0.022	NIR-MP
18341+0005	2452118	J	10.894	 0.013	NIR-MP
18341+0005	2452415	J	 9.238	 0.008	NIR-MP
18341+0005	2452424	J	 9.349	 0.006	NIR-MP
18341+0005	2452487	J	10.072	 0.008	NIR-MP
18341+0005	2452850	J	 8.756	 0.009	NIR-MP
18341+0005	2453194	J	10.280	 0.013	NIR-MP
18341+0005	2452529	J	10.625	 0.273	NIR-MP
18341+0005	2452833	J	 8.850	 0.006	NIR-MP
18341+0005	2451363	K	 5.832	 0.010	NIR-MP
18341+0005	2452043	K	 6.400	 0.025	NIR-MP
18341+0005	2452118	K	 6.355	 0.050	NIR-MP
18341+0005	2452415	K	 5.269	 0.007	NIR-MP
18341+0005	2452424	K	 5.403	 0.009	NIR-MP
18341+0005	2452487	K	 5.817	 0.007	NIR-MP
18341+0005	2453265	K	 5.915	 0.016	NIR-MP
18341+0005	2453533	K	 5.069	 0.016	NIR-MP
18341+0005	2451747	K	 4.900	 0.008	NIR-MP
18341+0005	2452833	K	 5.094	 0.013	NIR-MP
18341+0005	2452529	K	 6.236	 0.409	NIR-MP
18341+0005	2452850	K	 5.153	 0.090	NIR-MP
18341+0005	2452887	K	 5.677	 0.066	NIR-MP
18341+0005	2453186	K	 5.799	 0.016	NIR-MP
18341+0005	2453194	K	 5.762	 0.051	NIR-MP
18347+1113	2451382	H	 6.795	 0.046	2MASS
18347+1113	2451382	J	 7.744	 0.027	2MASS
18347+1113	2451382	K	 6.232	 0.020	2MASS
18347+1113	2451369	H	 6.875	 0.009	NIR-MP
18347+1113	2451751	H	 7.496	 0.011	NIR-MP
18347+1113	2452489	H	 6.758	 0.008	NIR-MP
18347+1113	2452852	H	 7.317	 0.006	NIR-MP
18347+1113	2451751	J	 8.454	 0.010	NIR-MP
18347+1113	2452489	J	 7.701	 0.010	NIR-MP
18347+1113	2451369	J	 7.743	 0.008	NIR-MP
18347+1113	2452852	J	 8.248	 0.007	NIR-MP
18347+1113	2453187	J	 7.607	 0.026	NIR-MP
18347+1113	2451751	K	 6.837	 0.010	NIR-MP
18347+1113	2452489	K	 6.228	 0.014	NIR-MP
18347+1113	2451369	K	 6.308	 0.011	NIR-MP
18347+1113	2452852	K	 6.766	 0.008	NIR-MP
18349+1023	2450921	H	 2.283	 0.240	2MASS
18349+1023	2450921	J	 4.121	 0.298	2MASS
18349+1023	2450921	K	 1.114	 0.306	2MASS
18349+1023	2451750	H	 2.212	 0.045	NIR-MP
18349+1023	2452494	H	 1.804	 0.172	NIR-MP
18349+1023	2452435	H	 3.774	 0.034	NIR-MP
18349+1023	2451363	J	 4.420	 0.019	NIR-MP
18349+1023	2452042	J	 3.581	 0.015	NIR-MP
18349+1023	2451750	J	 3.586	 0.035	NIR-MP
18349+1023	2452494	J	 2.486	 0.115	NIR-MP
18349+1023	2452435	J	 4.359	 0.024	NIR-MP
18349+1023	2451369	K	 1.045	 0.153	NIR-MP
18349+1023	2451750	K	 1.153	 0.059	NIR-MP
18349+1023	2452494	K	 0.970	 0.072	NIR-MP
18349+1023	2452435	K	 3.365	 0.207	NIR-MP
18349+1023	2401652	K	 0.680	 0.100	NIR-MP
18353+0020	2451397	K	12.672	 0.030	2MASS
18353+0020	2451048	K	10.941	 0.120	DENIS
18353+0020	2451365	K	12.518	 0.058	NIR-MP
18353+0020	2451744	K	12.389	 0.020	NIR-MP
18353+0020	2452037	K	11.213	 0.014	NIR-MP
18353+0020	2452118	K	11.359	 0.015	NIR-MP
18353+0020	2452414	K	13.198	 0.144	NIR-MP
18353+0020	2452423	K	13.213	 0.094	NIR-MP
18353+0020	2452831	K	11.152	 0.018	NIR-MP
18353+0020	2452852	K	11.110	 0.013	NIR-MP
18353+0020	2453183	K	11.914	 0.028	NIR-MP
18353+0020	2453265	K	12.506	 0.091	NIR-MP
18353+0020	2453533	K	13.768	 0.107	NIR-MP
18353+0020	2452891	K	11.080	 0.143	NIR-MP
18353+0020	2454231	K	12.256	 0.100	UKIDSS
18355+0227	2451397	H	 6.580	 0.024	2MASS
18355+0227	2451397	J	 8.315	 0.020	2MASS
18355+0227	2451397	K	 5.501	 0.018	2MASS
18355+0227	2451365	H	 6.354	 0.008	NIR-MP
18355+0227	2451744	H	 6.210	 0.005	NIR-MP
18355+0227	2452037	H	 7.150	 0.006	NIR-MP
18355+0227	2452118	H	 7.440	 0.010	NIR-MP
18355+0227	2452414	H	 6.023	 0.006	NIR-MP
18355+0227	2452423	H	 6.074	 0.005	NIR-MP
18355+0227	2452487	H	 6.414	 0.007	NIR-MP
18355+0227	2452528	H	 6.809	 0.009	NIR-MP
18355+0227	2452831	H	 6.142	 0.007	NIR-MP
18355+0227	2452887	H	 6.382	 0.041	NIR-MP
18355+0227	2453186	H	 7.153	 0.006	NIR-MP
18355+0227	2453196	H	 7.053	 0.005	NIR-MP
18355+0227	2453263	H	 7.051	 0.013	NIR-MP
18355+0227	2453536	H	 6.044	 0.007	NIR-MP
18355+0227	2452854	H	 6.102	 0.006	NIR-MP
18355+0227	2451365	J	 8.005	 0.007	NIR-MP
18355+0227	2451744	J	 7.766	 0.005	NIR-MP
18355+0227	2452037	J	 8.961	 0.012	NIR-MP
18355+0227	2452118	J	 9.503	 0.007	NIR-MP
18355+0227	2452414	J	 7.651	 0.007	NIR-MP
18355+0227	2452423	J	 7.727	 0.009	NIR-MP
18355+0227	2452487	J	 8.073	 0.008	NIR-MP
18355+0227	2452528	J	 8.522	 0.010	NIR-MP
18355+0227	2452831	J	 7.735	 0.007	NIR-MP
18355+0227	2452887	J	 7.631	 0.017	NIR-MP
18355+0227	2453196	J	 9.003	 0.010	NIR-MP
18355+0227	2453263	J	 8.823	 0.007	NIR-MP
18355+0227	2451365	K	 5.386	 0.013	NIR-MP
18355+0227	2451744	K	 5.322	 0.010	NIR-MP
18355+0227	2452037	K	 5.951	 0.008	NIR-MP
18355+0227	2452118	K	 6.143	 0.010	NIR-MP
18355+0227	2452487	K	 5.437	 0.009	NIR-MP
18355+0227	2452528	K	 5.737	 0.010	NIR-MP
18355+0227	2452831	K	 5.314	 0.011	NIR-MP
18355+0227	2452887	K	 5.524	 0.031	NIR-MP
18355+0227	2453196	K	 5.888	 0.011	NIR-MP
18355+0227	2453263	K	 6.176	 0.012	NIR-MP
18355+0227	2452423	K	 5.126	 0.006	NIR-MP
18355+0227	2452767	K	 6.571	 0.165	NIR-MP
18355+0227	2452414	K	 5.096	 0.008	NIR-MP
18362+0538	2451397	H	 6.334	 0.027	2MASS
18362+0538	2451397	J	 7.887	 0.034	2MASS
18362+0538	2451397	K	 5.345	 0.026	2MASS
18362+0538	2451364	H	 6.274	 0.010	NIR-MP
18362+0538	2451744	H	 6.070	 0.010	NIR-MP
18362+0538	2452037	H	 8.356	 0.010	NIR-MP
18362+0538	2452118	H	 7.858	 0.018	NIR-MP
18362+0538	2452415	H	 8.039	 0.007	NIR-MP
18362+0538	2452424	H	 8.223	 0.008	NIR-MP
18362+0538	2452488	H	 8.808	 0.006	NIR-MP
18362+0538	2452831	H	 7.269	 0.007	NIR-MP
18362+0538	2452851	H	 7.580	 0.011	NIR-MP
18362+0538	2453194	H	 6.490	 0.011	NIR-MP
18362+0538	2452530	H	 8.572	 0.234	NIR-MP
18362+0538	2451364	J	 7.735	 0.011	NIR-MP
18362+0538	2451744	J	 7.472	 0.006	NIR-MP
18362+0538	2452037	J	10.371	 0.015	NIR-MP
18362+0538	2452118	J	 9.597	 0.014	NIR-MP
18362+0538	2452415	J	10.027	 0.011	NIR-MP
18362+0538	2452424	J	10.193	 0.009	NIR-MP
18362+0538	2452530	J	10.631	 0.069	NIR-MP
18362+0538	2452831	J	 9.115	 0.008	NIR-MP
18362+0538	2452851	J	 9.528	 0.014	NIR-MP
18362+0538	2453194	J	 8.288	 0.014	NIR-MP
18362+0538	2453264	J	 9.121	 0.018	NIR-MP
18362+0538	2453534	J	 7.752	 0.011	NIR-MP
18362+0538	2453184	J	 8.231	 0.011	NIR-MP
18362+0538	2452488	J	10.912	 0.020	NIR-MP
18362+0538	2452891	J	10.153	 0.234	NIR-MP
18362+0538	2451364	K	 5.365	 0.010	NIR-MP
18362+0538	2451744	K	 5.309	 0.012	NIR-MP
18362+0538	2452037	K	 6.956	 0.009	NIR-MP
18362+0538	2452118	K	 6.576	 0.027	NIR-MP
18362+0538	2452415	K	 6.696	 0.008	NIR-MP
18362+0538	2452424	K	 6.840	 0.009	NIR-MP
18362+0538	2452488	K	 7.216	 0.007	NIR-MP
18362+0538	2452530	K	 7.058	 0.060	NIR-MP
18362+0538	2452831	K	 6.158	 0.010	NIR-MP
18362+0538	2452851	K	 6.362	 0.011	NIR-MP
18362+0538	2453194	K	 5.519	 0.038	NIR-MP
18375+0510	2451397	H	 6.806	 0.021	2MASS
18375+0510	2451397	J	 8.427	 0.023	2MASS
18375+0510	2451397	K	 5.477	 0.020	2MASS
18375+0510	2451364	H	 6.864	 0.008	NIR-MP
18375+0510	2451744	H	 7.990	 0.007	NIR-MP
18375+0510	2452037	H	 7.525	 0.007	NIR-MP
18375+0510	2452118	H	 8.083	 0.009	NIR-MP
18375+0510	2452415	H	 6.837	 0.008	NIR-MP
18375+0510	2452424	H	 6.831	 0.006	NIR-MP
18375+0510	2452488	H	 7.044	 0.005	NIR-MP
18375+0510	2452834	H	 7.317	 0.009	NIR-MP
18375+0510	2452887	H	 7.179	 0.020	NIR-MP
18375+0510	2453196	H	 8.280	 0.016	NIR-MP
18375+0510	2452528	H	 7.508	 0.050	NIR-MP
18375+0510	2451364	J	 8.495	 0.007	NIR-MP
18375+0510	2452037	J	 9.120	 0.006	NIR-MP
18375+0510	2452118	J	 9.896	 0.017	NIR-MP
18375+0510	2452415	J	 8.391	 0.012	NIR-MP
18375+0510	2452424	J	 8.413	 0.009	NIR-MP
18375+0510	2452488	J	 8.608	 0.006	NIR-MP
18375+0510	2452528	J	 8.902	 0.008	NIR-MP
18375+0510	2452834	J	 9.013	 0.010	NIR-MP
18375+0510	2452854	J	 8.920	 0.009	NIR-MP
18375+0510	2452887	J	 8.730	 0.016	NIR-MP
18375+0510	2453184	J	10.418	 0.007	NIR-MP
18375+0510	2453196	J	10.319	 0.020	NIR-MP
18375+0510	2453270	J	10.246	 0.011	NIR-MP
18375+0510	2453537	J	 8.893	 0.086	NIR-MP
18375+0510	2451744	J	 9.792	 0.018	NIR-MP
18375+0510	2451364	K	 5.554	 0.008	NIR-MP
18375+0510	2452037	K	 6.206	 0.007	NIR-MP
18375+0510	2452118	K	 6.757	 0.015	NIR-MP
18375+0510	2452415	K	 5.456	 0.010	NIR-MP
18375+0510	2452424	K	 5.494	 0.008	NIR-MP
18375+0510	2452488	K	 5.698	 0.012	NIR-MP
18375+0510	2452528	K	 5.971	 0.009	NIR-MP
18375+0510	2452834	K	 5.845	 0.015	NIR-MP
18375+0510	2453187	K	 6.601	 0.012	NIR-MP
18375+0510	2451744	K	 6.512	 0.009	NIR-MP
18375+0510	2452887	K	 5.492	 0.086	NIR-MP
18375+0510	2453196	K	 6.602	 0.021	NIR-MP
18381+0020	2451397	H	 6.423	 0.034	2MASS
18381+0020	2451397	J	 8.842	 0.020	2MASS
18381+0020	2451397	K	 4.883	 0.020	2MASS
18381+0020	2451398	J	 8.794	 0.060	DENIS
18381+0020	2451398	K	 4.107	 0.220	DENIS
18381+0020	2451363	H	 6.272	 0.006	NIR-MP
18381+0020	2451747	H	 7.050	 0.008	NIR-MP
18381+0020	2452043	H	 6.365	 0.022	NIR-MP
18381+0020	2452123	H	 7.044	 0.005	NIR-MP
18381+0020	2452414	H	 6.750	 0.004	NIR-MP
18381+0020	2452423	H	 6.688	 0.006	NIR-MP
18381+0020	2452487	H	 6.500	 0.006	NIR-MP
18381+0020	2452528	H	 6.506	 0.004	NIR-MP
18381+0020	2452833	H	 8.317	 0.007	NIR-MP
18381+0020	2453196	H	 6.493	 0.009	NIR-MP
18381+0020	2451363	J	 8.670	 0.007	NIR-MP
18381+0020	2451747	J	 9.595	 0.008	NIR-MP
18381+0020	2452043	J	 8.709	 0.010	NIR-MP
18381+0020	2452123	J	 9.532	 0.009	NIR-MP
18381+0020	2452414	J	 9.056	 0.005	NIR-MP
18381+0020	2452423	J	 8.970	 0.008	NIR-MP
18381+0020	2452487	J	 8.804	 0.006	NIR-MP
18381+0020	2452528	J	 8.854	 0.005	NIR-MP
18381+0020	2452891	J	10.760	 0.032	NIR-MP
18381+0020	2453183	J	 8.883	 0.007	NIR-MP
18381+0020	2453196	J	 8.919	 0.013	NIR-MP
18381+0020	2453265	J	 9.670	 0.008	NIR-MP
18381+0020	2453533	J	10.376	 0.007	NIR-MP
18381+0020	2452833	J	11.174	 0.007	NIR-MP
18381+0020	2452854	J	11.029	 0.009	NIR-MP
18381+0020	2451363	K	 4.814	 0.006	NIR-MP
18381+0020	2451747	K	 5.394	 0.008	NIR-MP
18381+0020	2452043	K	 4.973	 0.037	NIR-MP
18381+0020	2452123	K	 5.473	 0.008	NIR-MP
18381+0020	2452414	K	 5.174	 0.007	NIR-MP
18381+0020	2452423	K	 5.167	 0.011	NIR-MP
18381+0020	2452487	K	 4.996	 0.006	NIR-MP
18381+0020	2452528	K	 5.067	 0.015	NIR-MP
18381+0020	2452833	K	 6.465	 0.008	NIR-MP
18381+0020	2453196	K	 5.033	 0.013	NIR-MP
18395+0130	2451397	K	11.801	 0.025	2MASS
18395+0130	2451393	K	11.686	 0.090	DENIS
18395+0130	2452831	H	15.174	 0.115	NIR-MP
18395+0130	2451364	K	11.424	 0.020	NIR-MP
18395+0130	2451744	K	13.613	 0.145	NIR-MP
18395+0130	2452046	K	10.850	 0.008	NIR-MP
18395+0130	2452123	K	11.158	 0.009	NIR-MP
18395+0130	2452414	K	13.158	 0.049	NIR-MP
18395+0130	2452423	K	13.224	 0.026	NIR-MP
18395+0130	2452486	K	13.579	 0.021	NIR-MP
18395+0130	2452831	K	10.919	 0.008	NIR-MP
18395+0130	2452854	K	11.038	 0.008	NIR-MP
18395+0130	2452888	K	11.133	 0.013	NIR-MP
18395+0130	2453183	K	13.321	 0.017	NIR-MP
18395+0130	2453265	K	13.629	 0.066	NIR-MP
18395+0130	2453538	K	10.654	 0.010	NIR-MP
18397+0758	2451399	H	 5.735	 0.031	2MASS
18397+0758	2451399	J	 6.782	 0.020	2MASS
18397+0758	2451399	K	 4.923	 0.016	2MASS
18397+0758	2451366	H	 5.970	 0.007	NIR-MP
18397+0758	2451746	H	 6.118	 0.007	NIR-MP
18397+0758	2452041	H	 6.141	 0.019	NIR-MP
