#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T21:35:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&tab:{J/A+A/431/779/tablea1}&tab:{J/A+A/431/779/tablea2}&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/431/779/tablea1,J/A+A/431/779/tablea2
#-order=I
#-out=IRAS
#-out=IRAS_data
#IRAS_data=IRAS_data
#-out=RAJ2000
#-out=DEJ2000
#-out=oRA(CA-IRAS)
#-out=oDE(CA-IRAS)
#-out=oRA(MSX-IRAS)
#-out=oDE(MSX-IRAS)
#-out=oRA(VLA-IRAS)
#-out=oDE(VLA-IRAS)
#-out=MSX6C_G
#-out=HJD
#-out=l_Jmag
#-out=Jmag
#-out=e_Jmag
#-out=l_Hmag
#-out=Hmag
#-out=e_Hmag
#-out=n_Hmag
#-out=l_Kmag
#-out=Kmag
#-out=e_Kmag
#-out=n_Kmag
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_34310779
#Name: J/A+A/431/779
#Title: Optical/near-IR atlas of OH/IR stars (Jimenez-Esteban+ 2005)
#Table	J_A_A_431_779_tablea1:
#Name: J/A+A/431/779/tablea1
#Title: Astrometric information derived for the sources for which an optical/NIR counterpart was found.
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(a10)	IRAS name	[ucd=]
#Column	RAJ2000	(A10)	Improved right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Improved declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	oRA(CA-IRAS)	(I3)	? Distance Calar Alto/IRAS (RA) [NULL integer written as an empty string]	[ucd=]
#Column	oDE(CA-IRAS)	(I3)	? Distance Calar Alto/IRAS (DE) [NULL integer written as an empty string]	[ucd=]
#Column	oRA(MSX-IRAS)	(I3)	? Distance MSX/IRAS (RA) [NULL integer written as an empty string]	[ucd=]
#Column	oDE(MSX-IRAS)	(I3)	? Distance MSX/IRAS (DE) [NULL integer written as an empty string]	[ucd=]
#Column	oRA(VLA-IRAS)	(I3)	? Distance VLA/IRAS (RA) [NULL integer written as an empty string]	[ucd=]
#Column	oDE(VLA-IRAS)	(I3)	? Distance VLA/IRAS (DE) [NULL integer written as an empty string]	[ucd=]
#Column	MSX6C_G	(a16)	MSX6C_G name (MSX6C GLLL.llll+BB.bbbb), Cat. <V/114>	[ucd=]
_RAJ2000	_DEJ2000	IRAS	RAJ2000	DEJ2000	oRA(CA-IRAS)	oDE(CA-IRAS)	oRA(MSX-IRAS)	oDE(MSX-IRAS)	oRA(VLA-IRAS)	oDE(VLA-IRAS)	MSX6C_G
289.674167	 +6.220556	19162+0607	19 18 41.8	+06 13 14	 10	  4	  7	  5	   	   	041.5849-03.1849
289.750000	+17.647778	19167+1733	19 19 00.0	+17 38 52	  0	  2	  0	  2	   	   	051.7253+02.0913
289.812083	 +8.332500	19168+0814	19 19 14.9	+08 19 57	-12	 -1	 -9	 -1	   	   	043.5199-02.3224
289.869583	+20.027500	19172+1956	19 19 28.7	+20 01 39	  6	  1	  3	  1	   	   	053.8847+03.1025
289.978750	+10.070833	19175+0958	19 19 54.9	+10 04 15	  1	  2	  1	  1	   	   	045.1337-01.6542
289.988333	+10.802500	19175+1042	19 19 57.2	+10 48 09	  7	  4	  7	  3	   	   	045.7847-01.3197
289.950417	+19.759444	19176+1939	19 19 48.1	+19 45 34	  1	 -1	  0	  1	   	   	053.6832+02.9102
290.020000	+13.656667	19177+1333	19 20 04.8	+13 39 24	  6	  5	  7	  4	   	   	048.3202-00.0084
290.058333	+12.205556	19178+1206	19 20 14.0	+12 12 20	 -1	 -2	 -1	  2	   	   	047.0573-00.7213
290.177083	+11.901389	19183+1148	19 20 42.5	+11 54 05	 -2	  2	  0	  1	   	   	046.8421-00.9678
290.191250	+11.016389	19184+1055	19 20 45.9	+11 00 59	  2	  3	  0	  2	   	   	046.0668-01.3950
290.298750	 +3.349444	19186+0315	19 21 11.7	+03 20 58	  9	  4	  4	 -3	   	   	039.3240-05.0707
290.215833	+17.058333	19186+1657	19 20 51.8	+17 03 30	  2	  2	  0	  2	   	   	051.4124+01.4225
290.209167	+22.456667	19187+2221	19 20 50.2	+22 27 24	  3	  3	  4	  2	   	   	056.1858+03.9540
290.299167	+11.046944	19188+1057	19 21 11.8	+11 02 49	 15	  5	 15	  5	   	   	046.1439-01.4743
290.284583	+18.065278	19189+1758	19 21 08.3	+18 03 55	 -1	  1	 -1	  0	   	   	052.3327+01.8371
290.361250	+11.566389	19190+1128	19 21 26.7	+11 33 59	  4	  5	  3	  3	   	   	046.6305-01.2838
290.246667	+30.691667	19190+3035	19 20 59.2	+30 41 30	  1	  3	   	   	   	   	
290.402917	 +9.465833	19192+0922	19 21 36.7	+09 27 57	  3	  6	  1	  6	   	   	044.7950-02.3066
290.513750	 +5.474167	19195+0522	19 22 03.3	+05 28 27	 -6	  2	 -9	  5	   	   	041.3138-04.2713
290.433750	+17.886111	19195+1747	19 21 44.1	+17 53 10	  3	  2	  3	  2	   	   	052.2414+01.6277
290.603333	+10.680833	19200+1035	19 22 24.8	+10 40 51	 -6	 -4	 -6	 -3	   	   	045.9614-01.9099
290.574583	+15.697222	19200+1536	19 22 17.9	+15 41 50	  3	  2	  1	  1	  2	  2	050.3728+00.4784
290.621667	+10.771944	19201+1040	19 22 29.2	+10 46 19	  7	  2	  6	  4	   	   	046.0504-01.8826
290.572500	+21.123056	19201+2101	19 22 17.4	+21 07 23	-46	-11	-49	 -8	   	   	055.1632+03.0337
290.702083	+21.448889	19206+2121	19 22 48.5	+21 26 56	  3	  1	  3	  0	   	   	055.5075+03.0788
290.687083	+22.368056	19206+2216	19 22 44.9	+22 22 05	  3	  2	  1	  2	   	   	056.3142+03.5227
290.682500	+25.382222	19206+2517	19 22 43.8	+25 22 56	  0	  1	 -5	  6	   	   	
290.989583	 +5.317222	19214+0513	19 23 57.5	+05 19 02	 -6	  1	-12	  1	   	   	041.3954-04.7632
291.089167	 +4.517222	19218+0425	19 24 21.4	+04 31 02	  6	  1	   	   	   	   	
291.302083	+17.247222	19229+1708	19 25 12.5	+17 14 50	 -9	  1	 -9	  2	   	   	052.0691+00.5964
291.246250	+36.028333	19231+3555	19 24 59.1	+36 01 42	  1	  2	   	   	   	   	
291.509167	+14.610833	19237+1430	19 26 02.2	+14 36 39	-10	 -4	 -9	 -3	-10	 -5	049.8435-00.8307
291.508750	+35.051111	19241+3457	19 26 02.1	+35 03 04	  2	 -2	   	   	   	   	
291.810417	+11.484722	19248+1122	19 27 14.5	+11 29 05	  6	  2	  6	  2	   	   	047.2304-02.5739
291.780417	+14.789167	19248+1441	19 27 07.3	+14 47 21	-15	 -2	-15	 -2	   	   	050.1250-00.9764
291.825000	+24.449722	19252+2420	19 27 18.0	+24 26 59	  0	  3	  0	  3	   	   	058.6469+03.5816
291.917083	+11.338889	19253+1114	19 27 40.1	+11 20 20	-19	 -4	-19	 -4	   	   	047.1518-02.7351
291.925417	+16.623333	19254+1631	19 27 42.1	+16 37 24	  6	  2	  6	  3	   	   	051.8042-00.2247
292.034583	 +3.007222	19256+0254	19 28 08.3	+03 00 26	  3	  2	   	   	   	   	
292.058333	+11.291944	19258+1111	19 28 14.0	+11 17 31	 12	  2	 10	  1	   	   	047.1762-02.8792
292.092917	 +5.274722	19259+0510	19 28 22.3	+05 16 29	  1	  2	   	   	   	   	
292.141250	+10.169722	19261+1003	19 28 33.9	+10 10 11	 12	  2	  9	  2	   	   	046.2259-03.4839
292.118750	+14.697778	19261+1435	19 28 28.5	+14 41 52	 -1	  1	 -1	  1	   	   	050.2004-01.3076
292.099167	+18.921667	19261+1849	19 28 23.8	+18 55 18	  7	  4	  7	  4	   	   	053.9025+00.7271
292.130000	+31.373333	19265+3116	19 28 31.2	+31 22 24	  1	  1	   	   	   	   	
292.340000	 +3.017778	19268+0254	19 29 21.6	+03 01 04	 -6	  0	   	   	   	   	
292.298750	+15.764722	19268+1539	19 29 11.7	+15 45 53	 20	  5	 17	  4	   	   	051.2204-00.9497
292.339583	 +8.323056	19269+0813	19 29 21.5	+08 19 23	 -5	  1	 -3	 -2	   	   	044.6893-04.5339
292.375833	+14.013611	19271+1354	19 29 30.2	+14 00 49	 -1	  2	 -1	  2	   	   	049.7184-01.8535
292.464583	 +9.423889	19274+0919	19 29 51.5	+09 25 26	  1	  0	  0	  0	   	   	045.7202-04.1191
292.520000	 +7.767500	19276+0739	19 30 04.8	+07 46 03	 27	  5	 28	  1	   	   	044.2832-04.9545
292.474583	+15.113333	19276+1500	19 29 53.9	+15 06 48	  7	  2	  7	  3	   	   	050.7304-01.4106
292.535000	 +9.898889	19277+0947	19 30 08.4	+09 53 56	  6	  2	  6	  1	   	   	046.1718-03.9544
292.622500	+19.844722	19283+1944	19 30 29.4	+19 50 41	 -4	  1	 -4	  1	   	   	054.9492+00.7354
292.709583	+29.499167	19288+2923	19 30 50.3	+29 29 57	  0	  0	   	   	  1	  0	
292.836250	+16.121944	19290+1600	19 31 20.7	+16 07 19	  3	  3	  4	  5	   	   	051.7831-01.2321
292.900417	 +5.143056	19291+0502	19 31 36.1	+05 08 35	-10	 -1	   	   	   	   	
292.912500	+22.587778	19295+2228	19 31 39.0	+22 35 16	  3	  0	  3	  1	  2	  2	057.4854+01.8171
293.205833	 +1.276389	19302+0110	19 32 49.4	+01 16 35	  4	  2	   	   	   	   	
293.149583	+15.994722	19303+1553	19 32 35.9	+15 59 41	  1	  3	  3	  4	   	   	051.8163-01.5574
293.166250	+24.281667	19305+2410	19 32 39.9	+24 16 54	  0	  0	  3	  5	   	   	059.0848+02.4279
293.298750	+20.858333	19310+2044	19 33 11.7	+20 51 30	 -3	  1	 -1	  2	   	   	056.1433+00.6681
293.393750	+11.617500	19312+1130	19 33 34.5	+11 37 03	  0	  1	  0	  0	   	   	048.0894-03.8734
293.394583	+21.103611	19314+2059	19 33 34.7	+21 06 13	 -1	 -2	 -1	 -2	   	   	056.4010+00.7090
293.511667	 +9.435000	19316+0919	19 34 02.8	+09 26 06	  6	  1	  3	  1	   	   	046.2241-05.0211
293.515833	+22.354444	19319+2214	19 34 03.8	+22 21 16	  6	  2	  2	  2	   	   	057.5494+01.2169
293.653750	+19.995556	19323+1952	19 34 36.9	+19 59 44	 35	 13	 34	 13	   	   	055.5493-00.0404
293.795833	 +9.166944	19327+0903	19 35 11.0	+09 10 01	  3	  1	   	   	   	   	
293.833750	+12.870278	19330+1245	19 35 20.1	+12 52 13	  1	  1	  3	  4	   	   	049.3983-03.6463
293.878333	+19.418889	19333+1918	19 35 30.8	+19 25 08	 -3	  3	 -3	  1	   	   	055.1476-00.5059
294.187500	 +9.314722	19343+0912	19 36 45.0	+09 18 53	 -3	  0	   	   	   	   	
294.078750	+29.547222	19343+2926	19 36 18.9	+29 32 50	  4	  2	  5	  2	   	   	064.0964+04.2563
294.248333	 +0.386111	19344+0016	19 36 59.6	+00 23 10	  5	  2	   	   	   	   	
294.133750	+25.070278	19344+2457	19 36 32.1	+25 04 13	  0	 -1	 -1	 -1	   	   	060.1997+02.0410
294.247083	 +9.339444	19346+0913	19 36 59.3	+09 20 22	-27	 -4	   	   	   	   	
294.185833	+28.033056	19347+2755	19 36 44.6	+28 01 59	 -4	  2	 -5	  1	   	   	062.8140+03.4410
294.358750	+19.348333	19352+1914	19 37 26.1	+19 20 54	  0	  2	  1	  2	   	   	055.3079-00.9358
294.350000	+20.616111	19352+2030	19 37 24.0	+20 36 58	  6	  3	  6	  3	   	   	056.4095-00.3083
294.552500	+19.718889	19359+1936	19 38 12.6	+19 43 08	 14	  4	 13	  4	   	   	055.7201-00.9129
294.491250	+34.825833	19360+3442	19 37 57.9	+34 49 33	 16	  4	   	   	 13	  7	
294.757500	+11.946111	19366+1149	19 39 01.8	+11 56 46	  0	  1	  0	  1	   	   	049.0248-04.8833
294.767917	+19.718056	19368+1935	19 39 04.3	+19 43 05	 30	 12	 31	 11	   	   	055.8191-01.0910
294.782500	+29.044167	19371+2855	19 39 07.8	+29 02 39	  4	  2	  3	  2	   	   	063.9547+03.4762
295.055833	+13.053056	19378+1256	19 40 13.4	+13 03 11	  3	  3	  2	  2	   	   	050.1371-04.5985
295.033333	+34.121667	19382+3400	19 40 08.0	+34 07 18	  4	  3	   	   	   	   	
295.230000	+15.337778	19386+1513	19 40 55.2	+15 20 16	-15	 -3	-15	 -4	-14	 -3	052.2174-03.6271
295.263750	+15.571944	19387+1527	19 41 03.3	+15 34 19	  3	  4	 -1	  3	   	   	052.4371-03.5393
295.435833	+18.574167	19395+1827	19 41 44.6	+18 34 27	  0	  2	 -1	  1	   	   	055.1339-02.2030
295.431667	+19.942500	19395+1949	19 41 43.6	+19 56 33	  3	  4	  0	  3	   	   	056.3217-01.5227
295.446667	+23.765000	19396+2338	19 41 47.2	+23 45 54	 -5	  0	 -5	  0	   	   	059.6502+00.3581
295.938750	 +3.741667	19412+0337	19 43 45.3	+03 44 30	  1	  2	   	   	   	   	
295.902917	+10.821667	19412+1042	19 43 36.7	+10 49 18	  3	  1	   	   	   	   	
295.852917	+28.609444	19413+2829	19 43 24.7	+28 36 34	 -3	 -1	 -4	  0	   	   	064.0387+02.4458
295.891667	+22.749722	19414+2237	19 43 34.0	+22 44 59	 10	  2	 11	  2	   	   	058.9725-00.5012
296.029583	+35.235278	19422+3506	19 44 07.1	+35 14 07	  2	  0	   	   	   	   	
296.125000	+33.510556	19425+3323	19 44 30.0	+33 30 38	  8	  4	 11	  2	   	   	068.4192+04.6717
296.726667	+27.009167	19448+2653	19 46 54.4	+27 00 33	  7	  3	  5	  3	   	   	063.0385+00.9765
296.860833	+16.593333	19451+1628	19 47 26.6	+16 35 36	  0	  3	  0	  3	   	   	054.0893-04.3667
296.900833	+19.415000	19453+1917	19 47 36.2	+19 24 54	 18	  5	 16	  5	   	   	056.5549-02.9845
296.877917	+25.725556	19454+2536	19 47 30.7	+25 43 32	  1	  2	  1	  1	   	   	061.9978+00.2122
296.957083	+19.590000	19456+1927	19 47 49.7	+19 35 24	  7	  4	  9	  3	   	   	056.7335-02.9435
297.043750	+17.401667	19459+1716	19 48 10.5	+17 24 06	  3	  2	  1	  1	   	   	054.8786-04.1132
297.110000	+22.665278	19462+2232	19 48 26.4	+22 39 55	 10	  0	  7	  1	   	   	059.4631-01.5148
297.066667	+35.368333	19464+3514	19 48 16.0	+35 22 06	 -2	  2	-10	  4	   	   	070.4238+04.9252
297.219167	+22.355000	19467+2213	19 48 52.6	+22 21 18	 10	  3	  7	  4	   	   	059.2463-01.7586
297.293750	+29.875833	19471+2944	19 49 10.5	+29 52 33	  0	  1	  0	  1	   	   	065.7659+01.9926
297.530833	+21.317778	19479+2111	19 50 07.4	+21 19 04	  1	  1	  0	  4	   	   	058.4986-02.5337
297.789583	+13.910278	19488+1346	19 51 09.5	+13 54 37	  2	  2	   	   	   	   	
297.780000	+17.448056	19488+1719	19 51 07.2	+17 26 53	  4	  0	  4	  1	   	   	055.2740-04.6969
297.853750	+10.956111	19490+1049	19 51 24.9	+10 57 22	  3	  0	   	   	   	   	
297.838333	+29.216944	19493+2905	19 51 21.2	+29 13 01	-16	 -1	-16	 -1	   	   	065.4392+01.2497
297.990417	 +8.715278	19495+0835	19 51 57.7	+08 42 55	 -3	 -1	   	   	   	   	
298.031667	+21.824444	19499+2141	19 52 07.6	+21 49 28	 -4	 -2	 -7	  0	 -7	  0	059.1720-02.6766
298.050000	+22.792778	19500+2239	19 52 12.0	+22 47 34	 -3	  0	 -3	 -1	   	   	060.0139-02.1976
298.262500	+20.371389	19508+2014	19 53 03.0	+20 22 17	  6	  0	  6	  0	   	   	058.0311-03.6046
298.241250	+27.129167	19508+2659	19 52 57.9	+27 07 45	  5	  3	  5	  3	   	   	063.8275-00.1242
298.456667	+22.427222	19516+2217	19 53 49.6	+22 25 38	 -1	 -1	 -4	  0	   	   	059.8920-02.7063
298.536250	+27.617222	19520+2729	19 54 08.7	+27 37 02	  4	  1	  4	  0	   	   	064.3806-00.0977
298.620833	+19.728889	19522+1935	19 54 29.0	+19 43 44	 11	  3	 11	  2	  8	  2	057.6498-04.2227
298.571250	+27.028333	19522+2653	19 54 17.1	+27 01 42	  6	  4	  6	  2	   	   	063.8919-00.4282
298.718750	+22.658056	19527+2231	19 54 52.5	+22 39 29	  0	  0	 -3	  1	   	   	060.2147-02.7951
298.685000	+36.703889	19529+3634	19 54 44.4	+36 42 14	  2	  0	  2	  2	   	   	072.2449+04.4707
298.875417	+28.180000	19534+2802	19 55 30.1	+28 10 48	  1	  1	  0	 -2	  1	  0	065.0168-00.0636
298.921667	+22.091389	19535+2157	19 55 41.2	+22 05 29	 -5	  0	 -7	  1	   	   	059.8256-03.2486
299.234583	+18.934722	19547+1848	19 56 56.3	+18 56 05	 -1	  0	  1	 -1	   	   	057.2650-05.1280
299.626250	+31.804444	19565+3140	19 58 30.3	+31 48 16	  6	  3	  5	  4	   	   	068.4510+01.2679
299.635000	+34.526111	19566+3423	19 58 32.4	+34 31 34	  5	  2	  4	  2	   	   	070.7766+02.6836
299.872083	+22.218056	19573+2204	19 59 29.3	+22 13 05	  1	  1	 -1	 -1	   	   	060.3907-03.9352
299.985000	+11.862500	19575+1143	19 59 56.4	+11 51 45	  2	  1	   	   	   	   	
299.913750	+28.385000	19576+2814	19 59 39.3	+28 23 06	  6	 -1	  8	  3	   	   	065.6705-00.7365
299.982500	+29.575556	19579+2926	19 59 55.8	+29 34 32	  5	  2	  7	  3	   	   	066.7142-00.1623
299.963750	+32.535833	19579+3223	19 59 51.3	+32 32 09	  4	  1	  4	  2	   	   	069.2240+01.4077
300.226667	+25.831667	19588+2541	20 00 54.4	+25 49 54	  7	  4	  7	  4	   	   	063.6437-02.3167
300.854167	+18.007778	20011+1752	20 03 25.0	+18 00 28	-10	 -4	   	   	   	   	
300.910417	+30.469167	20015+3019	20 03 38.5	+30 28 09	 45	 14	 45	 14	   	   	067.8975-00.3708
301.086250	+29.068889	20023+2855	20 04 20.7	+29 04 08	  2	  3	  4	  2	   	   	066.7943-01.2472
301.168333	+17.599167	20024+1727	20 04 40.4	+17 35 57	  2	  1	   	   	  0	  1	
301.595417	+27.035833	20043+2653	20 06 22.9	+27 02 09	 -1	 -2	 -3	  0	   	   	065.3169-02.7141
301.772500	+12.951667	20047+1248	20 07 05.4	+12 57 06	  3	  2	   	   	   	   	
301.929583	 +6.053056	20052+0554	20 07 43.1	+06 03 11	 -3	 -2	   	   	   	   	
302.900833	+27.599444	20095+2726	20 11 36.2	+27 35 58	 15	  4	 13	  3	   	   	066.4198-03.3844
303.038333	+11.280833	20097+1107	20 12 09.2	+11 16 51	  3	  1	   	   	   	   	
303.245833	+36.084167	20110+3555	20 12 59.0	+36 05 03	  0	  2	 -2	 -1	   	   	073.6728+01.0322
303.493750	 +8.889722	20115+0844	20 13 58.5	+08 53 23	  6	  0	   	   	  6	  1	
303.709583	 +4.648611	20123+0429	20 14 50.3	+04 38 55	  1	 -1	   	   	   	   	
303.737500	+24.656389	20127+2430	20 14 57.0	+24 39 23	 24	  5	   	   	   	   	
303.948750	+28.798611	20137+2838	20 15 47.7	+28 47 55	  4	  3	  4	  2	   	   	067.9320-03.4954
303.975417	+36.501389	20140+3620	20 15 54.1	+36 30 05	 -1	  0	 -1	  0	   	   	074.3470+00.7740
304.210833	+34.824167	20149+3440	20 16 50.6	+34 49 27	  1	  4	  6	  6	   	   	073.0636-00.3219
304.403333	+21.119444	20153+2057	20 17 36.8	+21 07 10	 11	  3	   	   	   	   	
304.453750	+21.667778	20156+2130	20 17 48.9	+21 40 04	  4	  0	   	   	   	   	
304.524583	+27.734444	20160+2734	20 18 05.9	+27 44 04	  1	  4	  0	  3	   	   	067.3287-04.5088
304.796250	+27.703333	20171+2732	20 19 11.1	+27 42 12	  1	  2	  3	  2	   	   	067.4383-04.7259
305.091250	+22.729722	20181+2234	20 20 21.9	+22 43 47	  0	  0	   	   	   	   	
305.427917	+17.288333	20194+1707	20 21 42.7	+17 17 18	-27	 -7	   	   	   	   	
305.785833	+31.168889	20211+3100	20 23 08.6	+31 10 08	  0	  3	  0	  2	   	   	070.7921-03.4769
305.900833	+32.253056	20215+3205	20 23 36.2	+32 15 11	 13	  5	 13	  4	   	   	071.7392-02.9375
306.736250	+15.100556	20246+1456	20 26 56.7	+15 06 02	 -2	  0	   	   	   	   	
306.694167	+28.399722	20246+2813	20 26 46.6	+28 23 59	 10	  6	   	   	  9	  7	
307.238750	+21.260833	20267+2105	20 28 57.3	+21 15 39	  4	  3	   	   	   	   	
307.285000	+35.762222	20272+3535	20 29 08.4	+35 45 44	  5	  5	  6	  3	   	   	075.2679-01.8424
307.535833	+26.693611	20280+2631	20 30 08.6	+26 41 37	  9	  5	   	   	   	   	
307.917500	+34.093611	20296+3355	20 31 40.2	+34 05 37	  4	  4	  3	  4	   	   	074.2214-03.2416
309.283333	+35.019722	20351+3450	20 37 08.0	+35 01 11	  6	  3	  7	  3	   	   	075.6383-03.5936
309.582917	+34.205833	20363+3401	20 38 19.9	+34 12 21	  0	  0	 -1	 -1	   	   	075.1358-04.2808
310.585833	+31.908056	20403+3143	20 42 20.6	+31 54 29	  3	  0	   	   	   	   	
310.577083	+37.194722	20403+3700	20 42 18.5	+37 11 41	 -1	  1	 -1	 -1	   	   	078.0039-03.1009
310.778333	+30.010556	20410+2949	20 43 06.8	+30 00 38	  3	  1	   	   	   	   	
311.122917	+27.884444	20423+2742	20 44 29.5	+27 53 04	  3	  1	   	   	   	   	
311.336250	+32.044722	20432+3151	20 45 20.7	+32 02 41	  5	  4	   	   	   	   	
311.638333	 +4.393056	20440+0412	20 46 33.2	+04 23 35	 -3	 -3	   	   	   	   	
311.724583	 +5.857778	20444+0540	20 46 53.9	+05 51 28	 -3	 -3	   	   	   	   	
312.014167	+33.083889	20460+3253	20 48 03.4	+33 05 02	 -2	  0	   	   	   	   	
312.575000	+33.609167	20482+3325	20 50 18.0	+33 36 33	 -3	  1	   	   	 -2	  1	
313.773333	+30.414167	20529+3013	20 55 05.6	+30 24 51	  3	  2	   	   	   	   	
313.824167	+29.346944	20531+2909	20 55 17.8	+29 20 49	  0	  0	   	   	 -1	  2	
314.318333	 +2.978889	20547+0247	20 57 16.4	+02 58 44	  0	 -2	   	   	   	   	
317.198750	 +1.170556	21062+0058	21 08 47.7	+01 10 14	  3	  1	   	   	   	   	
317.444167	+18.413889	21074+1812	21 09 46.6	+18 24 50	  3	  4	   	   	   	   	
318.069583	+22.298611	21100+2205	21 12 16.7	+22 17 55	 -4	 -2	   	   	   	   	
318.623333	 +7.809722	21120+0736	21 14 29.6	+07 48 35	  6	  2	   	   	  6	  2	
319.937500	+18.008333	21174+1747	21 19 45.0	+18 00 30	 -3	 -3	   	   	 -2	 -7	
323.223750	+21.533333	21305+2118	21 32 53.7	+21 32 00	 38	 18	   	   	   	   	
329.960000	+33.233056	21576+3259	21 59 50.4	+33 13 59	 16	 11	   	   	   	   	
335.083750	+32.674444	22180+3225	22 20 20.1	+32 40 28	-14	-11	   	   	   	   	
340.696667	+11.014722	22402+1045	22 42 47.2	+11 00 53	  6	  2	   	   	   	   	
343.335000	+36.507222	22510+3614	22 53 20.4	+36 30 26	  0	  2	   	   	   	   	
343.547917	 +8.901944	22516+0838	22 54 11.5	+08 54 07	 -6	 -5	   	   	 -6	 -5	
343.550000	+22.659444	22517+2223	22 54 12.0	+22 39 34	 -6	 -1	   	   	   	   	

#Table	J_A_A_431_779_tablea2:
#Name: J/A+A/431/779/tablea2
#Title: Calar Alto photometry of the 368 Arecibo OH/IR stars measured.
#Column	IRAS	(a10)	IRAS name	[ucd=]
#Column	HJD	(I7)	Observation heliocentric Julian day	[ucd=]
#Column	l_Jmag	(A1)	Upper or lower limit indicator	[ucd=]
#Column	Jmag	(F5.2)	J magnitude	[ucd=]
#Column	e_Jmag	(F5.2)	? J magnitude uncertainty	[ucd=]
#Column	l_Hmag	(A1)	Upper or lower limit indicator	[ucd=]
#Column	Hmag	(F5.2)	? H magnitude	[ucd=]
#Column	e_Hmag	(F5.2)	? H magnitude uncertainty	[ucd=]
#Column	n_Hmag	(A2)	[NO ] NO: Not observed	[ucd=]
#Column	l_Kmag	(A1)	Upper or lower limit indicator	[ucd=]
#Column	Kmag	(F5.2)	? K magnitude	[ucd=]
#Column	e_Kmag	(F5.2)	? K magnitude uncertainty	[ucd=]
#Column	n_Kmag	(A2)	[NO ] NO: Not observed	[ucd=]
IRAS	HJD	l_Jmag	Jmag	e_Jmag	l_Hmag	Hmag	e_Hmag	n_Hmag	l_Kmag	Kmag	e_Kmag	n_Kmag
 	d	 	mag	mag	 	mag	mag	 	 	mag	mag	
----------	-------	-	-----	-----	-	-----	-----	--	-	-----	-----	--
01037+1219	2451747	 	 8.47	 0.02	 	 5.16	 0.01	  	 	 3.45	 0.12	
01085+3022	2451744	 	 4.88	 0.03	 	 3.50	 0.05	  	 	 3.10	 0.12	
02404+2150	2451747	 	 5.02	 0.04	 	 4.09	 0.04	  	 	 3.81	 0.05	
02420+1206	2451750	 	 5.02	 0.13	 	 4.03	 0.10	  	 	 3.40	 0.15	
02547+1106	2451750	 	 5.48	 0.01	 	 4.41	 0.01	  	 	 4.18	 0.16	
03507+1115	2451752	 	 2.46	 0.14	 	 0.87	 0.07	  	 	-0.15	 0.07	
12562+2324	2451745	 	 5.48	 0.02	 	 4.64	 0.02	  	 	 4.41	 0.04	
15060+0947	2451746	 	 6.38	 0.31	 	 5.28	 0.04	  	 	 5.27	 0.10	
15262+0400	2451746	 	 4.31	 0.05	 	 3.49	 0.06	  	 	 3.06	 0.13	
16235+1900	2451747	 	 1.69	 0.04	 	 0.80	 0.02	  	 	 0.38	 0.04	
16503+0529	2451744	 	 4.16	 0.04	 	 3.24	 0.03	  	 	 2.92	 0.04	
16523+0745	2451745	 	 6.15	 0.01	 	 5.31	 0.01	  	 	 4.92	 0.03	
16560+2252	2451745	 	 5.38	 0.20	 	 4.69	 0.04	  	 	 4.49	 0.21	
17050+1714	2451745	 	 5.64	 0.10	 	 4.83	 0.09	  	 	 4.58	 0.14	
