#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T18:46:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=42	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&tab:{J/A+AS/127/185/table1}&tab:{J/A+AS/127/185/table2}&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=IRAS&-out=Names&-out=RA1950&-out=DE1950&-out=Vlsr&-out=OH&-out=H2O&-out=SiO&-out=Type&-out=r_Type&-out.all=2&-out=_RA.icrs&-out=_DE.icrs&-out=HJD1&-out=rms1&-out=peak1&-out=Int1&-out=HJD2&-out=u_rms2&-out=rms2&-out=peak2&-out=Int2&-out=n_HJD3&-out=HJD3&-out=rms3&-out=peak3&-out=Int3&-out=RefNo&-out=Text&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+AS/127/185/table1,J/A+AS/127/185/table2,J/A+AS/127/185/refs&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+AS/127/185/table1 J/A+AS/127/185/table2
#-out=IRAS
#-out=Names
#-out=RA1950
#-out=DE1950
#-out=Vlsr
#-out=OH
#-out=H2O
#-out=SiO
#-out=Type
#-out=r_Type
#-out=_RA.icrs
#-out=_DE.icrs
#-out=HJD1
#-out=rms1
#-out=peak1
#-out=Int1
#-out=HJD2
#-out=u_rms2
#-out=rms2
#-out=peak2
#-out=Int2
#-out=n_HJD3
#-out=HJD3
#-out=rms3
#-out=peak3
#-out=Int3
#-out=RefNo
#-out=Text
#-out.src=J/A+AS/127/185/table1,J/A+AS/127/185/table2,J/A+AS/127/185/refs
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_41270185
#Name: J/A+AS/127/185
#Title: SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_AS_127_185_table1:
#Name: J/A+AS/127/185/table1
#Title: Source parameters
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id;meta.main]
#Column	Names	(a14)	Other name	[ucd=meta.id]
#Column	RA1950	(A10)	Right ascension (1950)	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A9)	Declination (1950)	[ucd=pos.eq.dec;meta.main]
#Column	Vlsr	(I4)	LSR center velocity of the spectra	[ucd=phys.veloc;pos.lsr]
#Column	OH	(A1)	[x] x: Presence of OH	[ucd=meta.note]
#Column	H2O	(A1)	[x] x: Presence of H2O	[ucd=meta.note]
#Column	SiO	(A1)	[xX?] x: Presence of SiO, X: new detection	[ucd=meta.note]
#Column	Type	(a20)	Evolutionary status of the object (1)	[ucd=meta.code.status;time.age]
#Column	r_Type	(a8)	References detailed in table refs.dat	[ucd=meta.note]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	IRAS	Names	RA1950	DE1950	Vlsr	OH	H2O	SiO	Type	r_Type	_RA.icrs	_DE.icrs
#Table	J_A_AS_127_185_table2:
#Name: J/A+AS/127/185/table2
#Title: SiO maser observations
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id;meta.main]
#Column	HJD1	(I7)	? Epoch of observation of SiO v=1, J=1-0 [NULL integer written as an empty string]	[ucd=time.epoch]
#Column	rms1	(F4.1)	? rms of SiO v=1, J=1-0	[ucd=stat.stdev;phot.flux.density]
#Column	peak1	(F5.1)	? Peak flux for SiO v=1, J=1-0 (1)	[ucd=phot.flux.density;em.radio]
#Column	Int1	(F4.1)	? Int of SiO v=1, J=1-0	[ucd=phot.flux.density;em.radio]
#Column	HJD2	(I7)	? Epoch of observation of SiO v=2, J=1-0 [NULL integer written as an empty string]	[ucd=time.epoch]
#Column	u_rms2	(A1)	[*] *: Calibration is uncertain due to unstable weather	[ucd=meta.code.error]
#Column	rms2	(F4.1)	? rms of SiO v=2, J=1-0	[ucd=stat.stdev;phot.flux.density]
#Column	peak2	(F5.1)	? Peak flux for SiO v=2, J=1-0 (1)	[ucd=phot.flux.density;em.radio]
#Column	Int2	(F5.1)	? Int of SiO v=2, J=1-0	[ucd=phot.flux.density;em.radio]
#Column	n_HJD3	(A1)	[*] *: Observation of SiO (2-1) made with the Onsala 20 m telescope	[ucd=meta.note]
#Column	HJD3	(I7)	? Epoch of observation of SiO v=1, J=2-1 [NULL integer written as an empty string]	[ucd=time.epoch]
#Column	rms3	(F4.1)	? rms of SiO v=1, J=2-1	[ucd=stat.stdev;phot.flux.density]
#Column	peak3	(F4.1)	? Peak flux for SiO v=1, J=2-1 (1)	[ucd=phot.flux.density;em.radio]
#Column	Int3	(F4.1)	? Int of SiO v=1, J=2-1	[ucd=phot.flux]
IRAS	HJD1	rms1	peak1	Int1	HJD2	u_rms2	rms2	peak2	Int2	n_HJD3	HJD3	rms3	peak3	Int3
 	d	Jy	Jy	10-20W/m2	d	 	Jy	Jy	10-20W/m2	 	d	Jy	Jy	10-20W/m2
----------	-------	----	-----	----	-------	-	----	-----	-----	-	-------	----	----	----
01304+6211	       	    	     	    	       	 	    	     	     	*	2449344	 0.4	    	
03206+6521	       	    	     	    	       	 	    	     	     	*	2449343	 0.4	    	
03293+6010	       	    	     	    	       	 	    	     	     	*	2449344	 0.4	 2.6	 2.9
04361+2547	       	    	     	    	       	 	    	     	     	 	2448528	 0.9	    	
06319-0501	       	    	     	    	2449251	 	 1.4	     	     	 	2449387	 0.3	    	
06530-0213	       	    	     	    	2449251	 	 1.3	     	     	 	2448528	 0.6	    	
07027-7934	       	    	     	    	2449251	 	 1.6	     	     	 	2449275	 0.5	    	
07131-0147	       	    	     	    	2449251	 	 1.1	     	     	 	2448528	 0.4	    	
07180-1314	       	    	     	    	2449252	 	 1.9	     	     	 	2449387	 0.5	 3.0	 5.1
07399-1435	2449253	 2.1	  5.1	    	2449249	 	 1.4	  8.2	  4.4	 	2448528	 0.5	 5.0	 6.4
07536-2830	2449253	 2.1	 10.4	 8.4	2449251	 	 1.3	  9.6	  3.4	 	2449274	 1.2	 7.5	18.6
07559-5859	       	    	     	    	2449251	 	 1.8	     	     	 	2449387	 0.6	    	
08005-2356	2449253	 2.1	     	    	2449249	 	 0.9	     	     	 	2448528	 0.6	    	
08357-1013	2449253	 2.4	 13.0	 9.2	2449251	 	 1.6	 11.6	  8.3	 	2449274	 0.9	 3.8	 4.2
09371+1212	2449253	 2.2	     	    	2449249	 	 1.4	     	     	 	2448723	 0.8	    	
09429-2148	2449253	 5.1	 70.2	38.0	2449251	 	 2.6	 55.0	 21.1	 	2449274	 1.0	27.0	26.8
10197-5750	2449253	 1.8	     	    	2449248	 	 0.6	     	     	 	2448723	 0.5	    	
10197-5750	       	    	     	    	       	 	    	     	     	 	2449274	 1.0	    	
11385-5517	2449253	 1.2	     	    	2449249	 	 1.1	     	     	 	2448723	 0.5	    	
11516-6201	       	    	     	    	2449251	 	 1.7	     	     	 	2449274	 0.9	    	
12358-6323	       	    	     	    	       	 	    	     	     	 	2449282	 1.4	    	
14086-0730	2449253	 2.3	 18.7	 9.7	2449252	 	 1.6	  7.0	  3.1	 	2449387	 0.8	10.0	13.0
14122-5947	       	    	     	    	       	 	    	     	     	 	2449387	 0.5	    	
14341-6211	       	    	     	    	       	 	    	     	     	 	2449282	 1.1	    	
15405-4945	2449253	 2.0	     	    	2449247	*	 0.9	     	     	 	2448527	 0.6	    	
16029-3041	2449253	 2.5	 15.6	 8.5	2449249	 	 2.2	 41.0	 11.9	 	2448531	 0.7	10.0	 6.3
16086-5255	       	    	     	    	       	 	    	     	     	 	2449282	 1.1	    	
16235-4832	2449253	 2.3	     	    	2449251	 	 2.1	     	     	 	2448530	 0.6	    	
16342-3814	2449253	 2.0	     	    	2449248	 	 0.8	     	     	 	2448527	 0.5	    	
16559-2957	       	    	     	    	2449250	 	 1.5	     	     	 	2448527	 0.8	    	
16594-4656	       	    	     	    	2449251	 	 1.8	     	     	 	2448911	 0.5	    	
17103-6302	2449253	 2.3	     	    	2449247	*	 1.0	     	     	 	2448530	 0.6	    	
17106-3046	       	    	     	    	2449249	 	 0.9	     	     	 	2449275	 1.2	    	
17118-2952	       	    	     	    	2449251	 	 2.4	     	     	 	2448723	 0.7	    	
17150-3224	       	    	     	    	2449249	 	 1.4	     	     	 	2448911	 0.8	    	
17150-3754	       	    	     	    	2449249	 	 1.0	     	     	 	2448530	 0.6	    	
17163-3907	       	    	     	    	2449251	 	 1.4	     	     	 	2448530	 0.6	    	
17195-2710	       	    	     	    	       	 	    	     	     	 	2449282	 1.0	    	
17207-2856	       	    	     	    	2449249	 	 0.9	     	     	 	2448530	 0.6	    	
17221-3038	       	    	     	    	2449249	 	 1.2	     	     	 	2448531	 0.6	    	
17233-2602	       	    	     	    	       	 	    	     	     	 	2449282	 1.0	    	
17292-2727	       	    	     	    	2449251	 	 2.2	     	     	 	2448786	 0.7	    	
17317-2743	       	    	     	    	2449251	 	 2.3	     	     	 	2448786	 0.8	    	
17347-3139	       	    	     	    	2449251	 	 1.4	     	     	 	2448531	 0.6	    	
17360-3012	2449253	 5.2	 54.6	21.0	2449250	 	 2.7	 39.8	 19.2	 	2448786	 0.8	 6.3	 8.6
17371-2747	2449253	 1.7	     	    	2449248	 	 1.2	     	     	 	2448527	 0.5	    	
17371(OH) 	       	    	     	    	2449252	 	 1.2	     	     	 	       	    	    	
17375-2759	       	    	     	    	2449248	 	 0.7	     	     	 	2448531	 0.5	    	
17375(OH) 	       	    	     	    	2449252	 	 1.3	     	     	 	       	    	    	
17375-3000	       	    	     	    	2449249	 	 1.2	     	     	 	2448533	 0.6	    	
17385-3332	       	    	     	    	       	 	    	     	     	 	2449282	 1.1	    	
17393-2727	       	    	     	    	2449249	 	 1.4	     	     	 	       	    	    	
17404-2713	       	    	     	    	       	 	    	     	     	 	2449282	 1.0	    	
17411-3154	2449253	 4.1	108.1	33.6	2449250	 	 3.1	152.9	115.5	 	2448786	 0.7	20.0	27.3
17423-1755	       	    	     	    	2449249	 	 1.2	     	     	 	2448530	 0.5	    	
17433-1750	       	    	     	    	2449251	 	 2.0	     	     	 	2448531	 0.5	    	
17433-1750	       	    	     	    	       	 	    	     	     	 	2449382	 1.0	    	
17443-2519	       	    	     	    	2449250	 	 1.3	     	     	 	2448786	 0.8	    	
17443-2949	       	    	     	    	2449249	 	 1.3	     	     	 	2448531	 0.6	    	
17459-3057	       	    	     	    	2449250	 	 2.1	     	     	 	2448786	 0.8	 3.8	 8.6
17484-1511	       	    	     	    	2449251	 	 1.9	     	     	 	2448723	 0.8	    	
17505-3143	2449253	 2.6	  6.6	 1.4	2449251	 	 1.2	  3.9	  2.3	 	2448563	 1.0	    	
17516-2526	       	    	     	    	2449251	 	 2.0	     	     	 	2448723	 0.8	    	
17534+2603	       	    	     	    	       	 	    	     	     	 	2448723	 0.9	    	
17565-2035	       	    	     	    	2449252	 	 1.7	     	     	 	2448563	 1.0	    	
17579-3121	       	    	     	    	2449249	 	 1.0	     	     	 	2449275	 1.2	    	
17580-3511	       	    	     	    	2449248	 	 1.5	     	     	 	2448531	 0.6	    	
18016-2743	       	    	     	    	       	 	    	     	     	 	2449382	 1.0	    	
18025-3906	       	    	     	    	2449249	 	 1.4	     	     	 	2449282	 1.0	    	
18044-1947	       	    	     	    	2449252	 	 2.1	     	     	 	2448533	 0.8	    	
18055-1833	       	    	     	    	2449250	 	 1.7	     	     	 	2448533	 0.7	    	
18071-1727	       	    	     	    	2449250	 	 2.3	     	     	 	2448533	 0.8	    	
18081-0338	       	    	     	    	2449251	 	 1.8	     	     	 	2448563	 1.1	    	
18095+2704	       	    	     	    	       	 	    	     	     	*	2449338	 0.4	    	
18105-1935	       	    	     	    	       	 	    	     	     	 	2449282	 1.0	    	
18107-0710	2449253	 3.0	  5.5	    	2449252	 	 1.5	  9.0	  2.1	 	2448563	 1.2	    	
18135-1456	2449253	 1.5	  5.1	    	2449247	 	 0.7	     	     	 	2448563	 1.0	    	
18135-1456	       	    	     	    	       	 	    	     	     	*	2449343	 0.6	    	
18161-1713	       	    	     	    	2449252	 	 1.7	     	     	 	2448564	 1.1	    	
18167-1209	       	    	     	    	2449249	 	 1.5	     	     	 	2448911	 0.4	    	
18176-1848	2449253	 2.2	 17.2	 9.8	2449252	 	 1.6	 16.8	  8.7	 	2448564	 1.1	    	
18257-1000	2449253	 2.6	     	    	2449251	 	 1.6	 27.7	 14.2	 	2448564	 1.0	    	
18276-1431	2449253	 1.6	     	    	2449247	*	 1.0	     	     	 	2448531	 0.8	    	
18276-1431	       	    	     	    	       	 	    	     	     	*	2449344	 0.4	    	
18281+2149	       	    	     	    	       	 	    	     	     	*	2449336	 0.4	    	
18298-2111	       	    	     	    	2449251	 	 1.8	     	     	 	2448533	 0.7	    	
18303-0519	       	    	     	    	2449252	 	 2.1	     	     	 	2448786	 0.7	    	
18310-2834	       	    	     	    	2449252	 	 1.2	     	     	 	2448563	 1.1	    	
18314-2759	       	    	     	    	2449251	 	 1.4	     	     	 	2448563	 1.1	    	
18340-0839	       	    	     	    	2449251	 	 1.9	     	     	 	2448786	 0.6	 2.5	 4.0
18348-0526	2449253	 2.3	 44.5	11.8	2449247	*	 5.8	 67.5	 21.1	 	2448786	 0.8	    	
18437-0643	2449253	 2.0	  5.5	    	2449252	 	 1.8	  9.3	  3.6	 	2448533	 0.9	    	
18450-0148	       	    	     	    	2449248	 	 1.3	     	     	 	2449275	 1.0	    	
18454+0250	       	    	     	    	2449252	 	 2.1	     	     	 	2448563	 1.1	    	
18460-0254	2449253	 3.0	     	    	2449251	 	 1.7	 26.9	 12.2	 	2449275	 1.2	    	
18479-2514	       	    	     	    	2449251	 	 1.2	     	     	 	2448533	 0.8	    	
18491-0207	       	    	     	    	2449249	 	 1.6	     	     	 	2448531	 0.5	    	
18526+0140	       	    	     	    	       	 	    	     	     	 	2449990	 0.4	    	
18550+0130	       	    	     	    	2449251	 	 1.4	     	     	 	2449275	 1.2	 5.3	20.1
18560+0638	2449253	 2.7	 40.2	25.4	2449252	 	 3.1	 73.3	 56.7	 	2449275	 1.3	    	
18596+0315	2449253	 1.9	     	    	2449252	 	 1.4	     	     	*	2449344	 0.5	    	
19010+0527	       	    	     	    	2449251	 	 1.9	     	     	 	2449275	 1.2	    	
19010+0527	       	    	     	    	       	 	    	     	     	*	2449342	 0.5	    	
19067+0811	2449253	 3.6	 18.6	11.0	2449251	 	 1.5	 20.7	 13.5	 	2449276	 1.2	    	
19067+0811	       	    	     	    	       	 	    	     	     	*	2449342	 0.8	    	
19075+0921	       	    	     	    	2449251	 	 2.0	     	     	 	2449275	 1.3	    	
19075+0921	       	    	     	    	       	 	    	     	     	*	2449342	 0.5	    	
19114+0002	       	    	     	    	2449251	 	 2.0	     	     	 	2448563	 1.1	    	
19127+1717	       	    	     	    	2449251	 	 1.3	     	     	 	2448563	 1.2	    	
19127+1717	       	    	     	    	       	 	    	     	     	*	2449344	 0.4	    	
19134+2131	       	    	     	    	       	 	    	     	     	*	2449339	 0.4	    	
19161+2343	       	    	     	    	       	 	    	     	     	*	2449340	 0.8	    	
19178-2620	2449253	 2.4	 19.5	13.4	2449251	 	 1.4	 26.1	 21.0	 	2448533	 0.8	16.3	17.5
19190+1102	       	    	     	    	2449252	 	 2.2	     	     	 	2449275	 1.2	    	
19192+0922	2449253	 2.8	 17.6	 4.7	2449252	 	 1.7	 19.9	  5.2	 	2449276	 1.1	 7.5	 6.5
19219+0947	       	    	     	    	2449248	 	 1.4	     	     	 	2448530	 0.6	    	
19244+1115	       	    	     	    	2449248	 	 1.8	     	     	 	2448531	 0.6	    	
19283+1944	2449253	 3.1	 10.1	 2.1	2449251	 	 2.4	 13.3	  4.8	 	2449276	 1.2	    	
19283+1944	       	    	     	    	       	 	    	     	     	*	2449342	 0.8	    	
19288+2923	       	    	     	    	       	 	    	     	     	*	2449339	 0.6	    	
19297+2300	       	    	     	    	       	 	    	     	     	*	2449342	 0.6	    	
19343+2926	       	    	     	    	       	 	    	     	     	*	2449336	 0.3	    	
19352+2030	       	    	     	    	       	 	    	     	     	 	2449990	 0.6	    	
19511+3935	       	    	     	    	       	 	    	     	     	*	2449338	 1.2	    	
19566+3423	       	    	     	    	       	 	    	     	     	*	2449340	 0.6	    	
19576+2814	       	    	     	    	       	 	    	     	     	*	2449344	 0.3	    	
20043+2653	       	    	     	    	       	 	    	     	     	*	2449343	 0.3	 1.2	 1.5
20272+3535	       	    	     	    	       	 	    	     	     	*	2449339	 0.6	    	
20406+2953	       	    	     	    	       	 	    	     	     	*	2449340	 0.5	    	
20491+4236	       	    	     	    	       	 	    	     	     	*	2449337	 0.4	 3.3	 5.9
21206+5145	       	    	     	    	       	 	    	     	     	*	2449339	 0.5	    	
21554+6204	       	    	     	    	       	 	    	     	     	*	2449339	 0.4	    	
22036+5306	       	    	     	    	       	 	    	     	     	*	2449335	 0.4	    	
22177+5936	       	    	     	    	       	 	    	     	     	*	2449340	 0.5	    	
22480+6002	       	    	     	    	       	 	    	     	     	*	2449340	 0.8	 5.8	27.3
23321+6545	       	    	     	    	       	 	    	     	     	*	2449342	 0.7	    	
23541+7031	       	    	     	    	       	 	    	     	     	*	2449344	 0.5	    	

